,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
52,127343313,236,1.0,1,0.00423728813559322
413,868768702,114,1.0,1,0.008771929824561403
359,748065701,92,1.0,1,0.010869565217391304
338,694290590,360,1.0,1,0.002777777777777778
333,685652978,159,1.0,1,0.006289308176100629
299,619941271,42,1.0,1,0.023809523809523808
418,888313825,58,1.0,1,0.017241379310344827
294,614083399,134,1.0,1,0.007462686567164179
252,531479992,147,1.0,1,0.006802721088435374
236,486589264,147,1.0,1,0.006802721088435374
186,357308868,183,1.0,1,0.00546448087431694
59,153523919,43,1.0,1,0.023255813953488372
289,593915883,129,1.0,1,0.007751937984496124
434,919751065,98,1.0,1,0.01020408163265306
201,392681682,67,1.0,2,0.029850746268656716
114,235105995,377,1.0,2,0.005305039787798408
386,805407843,79,1.0,2,0.02531645569620253
