,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
183,352847602,18,3.0,1,0.05555555555555555
191,376749538,24,3.0,1,0.041666666666666664
469,977457747,22,3.0,1,0.045454545454545456
168,333479002,16,3.0,2,0.125
323,668106687,14,3.0,2,0.14285714285714285
210,407404113,46,3.0,2,0.043478260869565216
448,945323010,28,3.0,2,0.07142857142857142
466,974237252,26,3.0,2,0.07692307692307693
258,531585937,35,3.0,2,0.05714285714285714
481,987021536,19,3.0,3,0.15789473684210525
146,276205451,27,3.0,3,0.1111111111111111
172,341174535,24,3.0,3,0.125
455,959834931,33,3.0,3,0.09090909090909091
316,646926938,31,3.0,3,0.0967741935483871
65,168649310,29,3.0,3,0.10344827586206896
161,316756803,39,3.0,3,0.07692307692307693
57,127431946,22,3.0,3,0.13636363636363635
286,591023894,31,3.0,3,0.0967741935483871
25,66259499,24,3.0,3,0.125
5,16483457,60,3.0,4,0.06666666666666667
149,286798751,17,3.0,4,0.23529411764705882
427,902572429,24,3.0,4,0.16666666666666666
180,346326614,19,3.0,4,0.21052631578947367
379,791081896,15,3.0,4,0.26666666666666666
444,943337655,19,3.0,4,0.21052631578947367
103,218800429,25,3.0,4,0.16
279,582752797,28,3.0,4,0.14285714285714285
262,535977674,30,3.0,4,0.13333333333333333
383,794852894,16,3.0,4,0.25
72,179801564,36,3.0,4,0.1111111111111111
227,453645026,35,3.0,4,0.11428571428571428
194,380013605,33,3.0,5,0.15151515151515152
399,828468145,20,3.0,5,0.25
126,241892378,21,3.0,5,0.23809523809523808
130,252448367,22,3.0,5,0.22727272727272727
245,494548935,21,3.0,5,0.23809523809523808
348,726227850,21,3.0,5,0.23809523809523808
69,176210327,24,3.0,5,0.20833333333333334
220,442401590,16,3.0,6,0.375
376,772841097,38,3.0,6,0.15789473684210525
305,630355634,27,3.0,6,0.2222222222222222
218,415529274,36,3.0,6,0.16666666666666666
320,664218299,23,3.0,6,0.2608695652173913
153,290876515,45,3.0,6,0.13333333333333333
17,54987170,21,3.0,6,0.2857142857142857
214,415057628,33,3.0,7,0.21212121212121213
459,963019694,22,3.0,7,0.3181818181818182
207,396337866,51,3.0,7,0.13725490196078433
49,122140779,42,3.0,7,0.16666666666666666
411,862140913,23,3.0,7,0.30434782608695654
403,833461643,71,3.0,7,0.09859154929577464
45,121009604,30,3.0,7,0.23333333333333334
134,253762851,53,3.0,7,0.1320754716981132
21,57056668,52,3.0,7,0.1346153846153846
119,236392593,27,3.0,7,0.25925925925925924
249,496940864,28,3.0,8,0.2857142857142857
372,768062995,38,3.0,8,0.21052631578947367
99,218297570,36,3.0,8,0.2222222222222222
61,153523919,43,3.0,8,0.18604651162790697
87,196041133,34,3.0,8,0.23529411764705882
80,194533684,39,3.0,8,0.20512820512820512
203,392681682,67,3.0,8,0.11940298507462686
452,955015830,30,3.0,9,0.3
440,932955324,23,3.0,9,0.391304347826087
283,588999286,22,3.0,9,0.4090909090909091
344,711329162,38,3.0,10,0.2631578947368421
369,761176783,35,3.0,10,0.2857142857142857
33,107341965,34,3.0,10,0.29411764705882354
473,981727854,29,3.0,11,0.3793103448275862
431,918034537,75,3.0,11,0.14666666666666667
176,345449343,35,3.0,11,0.3142857142857143
356,734632472,39,3.0,11,0.28205128205128205
9,26711891,63,3.0,12,0.19047619047619047
420,888313825,58,3.0,12,0.20689655172413793
396,815035474,46,3.0,12,0.2608695652173913
198,391944105,49,3.0,12,0.24489795918367346
37,108191918,38,3.0,12,0.3157894736842105
76,187812876,41,3.0,13,0.3170731707317073
330,676407800,79,3.0,14,0.17721518987341772
436,919751065,98,3.0,14,0.14285714285714285
424,897437023,78,3.0,14,0.1794871794871795
1,423960,68,3.0,14,0.20588235294117646
301,619941271,42,3.0,14,0.3333333333333333
157,303775294,67,3.0,14,0.208955223880597
267,560455235,66,3.0,14,0.21212121212121213
275,569841544,65,3.0,15,0.23076923076923078
233,475989673,58,3.0,16,0.27586206896551724
361,748065701,92,3.0,16,0.17391304347826086
271,568981338,53,3.0,16,0.3018867924528302
309,635386699,56,3.0,17,0.30357142857142855
388,805407843,79,3.0,17,0.21518987341772153
95,199558933,82,3.0,18,0.21951219512195122
83,195677102,134,3.0,19,0.1417910447761194
296,614083399,134,3.0,19,0.1417910447761194
107,221722169,64,3.0,19,0.296875
407,843035023,54,3.0,20,0.37037037037037035
291,593915883,129,3.0,20,0.15503875968992248
111,223051644,73,3.0,20,0.273972602739726
29,74735317,92,3.0,21,0.22826086956521738
224,443954263,127,3.0,23,0.18110236220472442
238,486589264,147,3.0,24,0.16326530612244897
254,531479992,147,3.0,25,0.17006802721088435
462,963066492,107,3.0,25,0.2336448598130841
142,258419037,116,3.0,25,0.21551724137931033
41,109106777,187,3.0,26,0.13903743315508021
138,253917972,111,3.0,26,0.23423423423423423
392,814216548,100,3.0,26,0.26
188,357308868,183,3.0,31,0.16939890710382513
477,983445543,207,3.0,32,0.15458937198067632
415,868768702,114,3.0,36,0.3157894736842105
326,670161917,211,3.0,43,0.2037914691943128
165,328811288,232,3.0,46,0.19827586206896552
335,685652978,159,3.0,46,0.2893081761006289
122,238410319,200,3.0,50,0.25
91,197856712,298,3.0,58,0.19463087248322147
54,127343313,236,3.0,59,0.25
116,235105995,377,3.0,64,0.16976127320954906
242,486774008,310,3.0,66,0.2129032258064516
340,694290590,360,3.0,81,0.225
13,47684938,510,3.0,103,0.2019607843137255
365,758099411,506,3.0,105,0.2075098814229249
352,732252283,534,3.0,111,0.20786516853932585
