,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
315,646926938,31,2.0,1,0.03225806451612903
102,218800429,25,2.0,1,0.04
312,646149518,23,2.0,1,0.043478260869565216
145,276205451,27,2.0,1,0.037037037037037035
175,345449343,35,2.0,1,0.02857142857142857
75,187812876,41,2.0,1,0.024390243902439025
71,179801564,36,2.0,1,0.027777777777777776
197,391944105,49,2.0,1,0.02040816326530612
443,943337655,19,2.0,1,0.05263157894736842
213,415057628,33,2.0,1,0.030303030303030304
44,121009604,30,2.0,1,0.03333333333333333
447,945323010,28,2.0,1,0.03571428571428571
32,107341965,34,2.0,1,0.029411764705882353
465,974237252,26,2.0,1,0.038461538461538464
368,761176783,35,2.0,1,0.02857142857142857
20,57056668,52,2.0,1,0.019230769230769232
458,963019694,22,2.0,1,0.045454545454545456
217,415529274,36,2.0,2,0.05555555555555555
133,253762851,53,2.0,2,0.03773584905660377
202,392681682,67,2.0,2,0.029850746268656716
382,794852894,16,2.0,2,0.125
179,346326614,19,2.0,2,0.10526315789473684
343,711329162,38,2.0,2,0.05263157894736842
261,535977674,30,2.0,2,0.06666666666666667
278,582752797,28,2.0,2,0.07142857142857142
137,253917972,111,2.0,2,0.018018018018018018
282,588999286,22,2.0,2,0.09090909090909091
129,252448367,22,2.0,2,0.09090909090909091
480,987021536,19,2.0,2,0.10526315789473684
36,108191918,38,2.0,2,0.05263157894736842
410,862140913,23,2.0,2,0.08695652173913043
402,833461643,71,2.0,2,0.028169014084507043
64,168649310,29,2.0,2,0.06896551724137931
304,630355634,27,2.0,3,0.1111111111111111
300,619941271,42,2.0,3,0.07142857142857142
319,664218299,23,2.0,3,0.13043478260869565
290,593915883,129,2.0,3,0.023255813953488372
8,26711891,63,2.0,3,0.047619047619047616
270,568981338,53,2.0,3,0.05660377358490566
248,496940864,28,2.0,3,0.10714285714285714
347,726227850,21,2.0,3,0.14285714285714285
476,983445543,207,2.0,3,0.014492753623188406
24,66259499,24,2.0,3,0.125
48,122140779,42,2.0,3,0.07142857142857142
206,396337866,51,2.0,3,0.058823529411764705
395,815035474,46,2.0,3,0.06521739130434782
391,814216548,100,2.0,3,0.03
439,932955324,23,2.0,3,0.13043478260869565
125,241892378,21,2.0,3,0.14285714285714285
171,341174535,24,2.0,3,0.125
160,316756803,39,2.0,3,0.07692307692307693
152,290876515,45,2.0,3,0.06666666666666667
68,176210327,24,2.0,3,0.125
308,635386699,56,2.0,4,0.07142857142857142
98,218297570,36,2.0,4,0.1111111111111111
4,16483457,60,2.0,4,0.06666666666666667
430,918034537,75,2.0,4,0.05333333333333334
329,676407800,79,2.0,4,0.05063291139240506
79,194533684,39,2.0,4,0.10256410256410256
257,531585937,35,2.0,4,0.11428571428571428
16,54987170,21,2.0,4,0.19047619047619047
156,303775294,67,2.0,4,0.05970149253731343
86,196041133,34,2.0,4,0.11764705882352941
266,560455235,66,2.0,4,0.06060606060606061
423,897437023,78,2.0,5,0.0641025641025641
387,805407843,79,2.0,5,0.06329113924050633
406,843035023,54,2.0,5,0.09259259259259259
375,772841097,38,2.0,5,0.13157894736842105
472,981727854,29,2.0,5,0.1724137931034483
0,423960,68,2.0,5,0.07352941176470588
40,109106777,187,2.0,5,0.026737967914438502
110,223051644,73,2.0,5,0.0684931506849315
187,357308868,183,2.0,5,0.0273224043715847
141,258419037,116,2.0,5,0.04310344827586207
237,486589264,147,2.0,6,0.04081632653061224
461,963066492,107,2.0,6,0.056074766355140186
60,153523919,43,2.0,6,0.13953488372093023
82,195677102,134,2.0,6,0.04477611940298507
435,919751065,98,2.0,6,0.061224489795918366
355,734632472,39,2.0,6,0.15384615384615385
419,888313825,58,2.0,6,0.10344827586206896
451,955015830,30,2.0,7,0.23333333333333334
414,868768702,114,2.0,7,0.06140350877192982
106,221722169,64,2.0,7,0.109375
325,670161917,211,2.0,7,0.03317535545023697
241,486774008,310,2.0,7,0.02258064516129032
295,614083399,134,2.0,8,0.05970149253731343
28,74735317,92,2.0,8,0.08695652173913043
274,569841544,65,2.0,8,0.12307692307692308
253,531479992,147,2.0,8,0.05442176870748299
223,443954263,127,2.0,9,0.07086614173228346
360,748065701,92,2.0,10,0.10869565217391304
232,475989673,58,2.0,11,0.1896551724137931
94,199558933,82,2.0,12,0.14634146341463414
164,328811288,232,2.0,12,0.05172413793103448
121,238410319,200,2.0,14,0.07
364,758099411,506,2.0,14,0.02766798418972332
53,127343313,236,2.0,16,0.06779661016949153
334,685652978,159,2.0,16,0.10062893081761007
115,235105995,377,2.0,16,0.042440318302387266
339,694290590,360,2.0,17,0.04722222222222222
351,732252283,534,2.0,19,0.035580524344569285
90,197856712,298,2.0,21,0.07046979865771812
12,47684938,510,2.0,25,0.049019607843137254
