,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
151,286798751,17,5.0,1,0.058823529411764705
385,800605083,1,5.0,1,1.0
398,815035474,46,5.0,1,0.021739130434782608
311,635386699,56,5.0,1,0.017857142857142856
401,828468145,20,5.0,1,0.05
170,333479002,16,5.0,1,0.0625
163,316756803,39,5.0,1,0.02564102564102564
51,122140779,42,5.0,1,0.023809523809523808
182,346326614,19,5.0,1,0.05263157894736842
381,791081896,15,5.0,1,0.06666666666666667
185,352847602,18,5.0,1,0.05555555555555555
35,107341965,34,5.0,1,0.029411764705882353
128,241892378,21,5.0,1,0.047619047619047616
251,496940864,28,5.0,1,0.03571428571428571
132,252448367,22,5.0,1,0.045454545454545456
475,981727854,29,5.0,1,0.034482758620689655
285,588999286,22,5.0,1,0.045454545454545456
374,768062995,38,5.0,1,0.02631578947368421
332,676407800,79,5.0,2,0.02531645569620253
322,664218299,23,5.0,2,0.08695652173913043
288,591023894,31,5.0,2,0.06451612903225806
105,218800429,25,5.0,2,0.08
74,179801564,36,5.0,2,0.05555555555555555
89,196041133,34,5.0,2,0.058823529411764705
269,560455235,66,5.0,2,0.030303030303030304
39,108191918,38,5.0,2,0.05263157894736842
442,932955324,23,5.0,2,0.08695652173913043
222,442401590,16,5.0,2,0.125
11,26711891,63,5.0,2,0.031746031746031744
101,218297570,36,5.0,2,0.05555555555555555
174,341174535,24,5.0,3,0.125
264,535977674,30,5.0,3,0.1
235,475989673,58,5.0,3,0.05172413793103448
3,423960,68,5.0,3,0.04411764705882353
358,734632472,39,5.0,3,0.07692307692307693
318,646926938,31,5.0,3,0.0967741935483871
350,726227850,21,5.0,3,0.14285714285714285
209,396337866,51,5.0,3,0.058823529411764705
371,761176783,35,5.0,3,0.08571428571428572
63,153523919,43,5.0,3,0.06976744186046512
409,843035023,54,5.0,3,0.05555555555555555
47,121009604,30,5.0,3,0.1
446,943337655,19,5.0,3,0.15789473684210525
454,955015830,30,5.0,3,0.1
277,569841544,65,5.0,4,0.06153846153846154
429,902572429,24,5.0,4,0.16666666666666666
457,959834931,33,5.0,4,0.12121212121212122
226,443954263,127,5.0,4,0.031496062992125984
471,977457747,22,5.0,4,0.18181818181818182
307,630355634,27,5.0,4,0.14814814814814814
216,415057628,33,5.0,4,0.12121212121212122
483,987021536,19,5.0,4,0.21052631578947367
27,66259499,24,5.0,4,0.16666666666666666
200,391944105,49,5.0,4,0.08163265306122448
78,187812876,41,5.0,4,0.0975609756097561
97,199558933,82,5.0,4,0.04878048780487805
193,376749538,24,5.0,4,0.16666666666666666
109,221722169,64,5.0,4,0.0625
148,276205451,27,5.0,4,0.14814814814814814
422,888313825,58,5.0,5,0.08620689655172414
468,974237252,26,5.0,5,0.19230769230769232
247,494548935,21,5.0,5,0.23809523809523808
67,168649310,29,5.0,5,0.1724137931034483
273,568981338,53,5.0,5,0.09433962264150944
346,711329162,38,5.0,5,0.13157894736842105
155,290876515,45,5.0,6,0.13333333333333333
159,303775294,67,5.0,6,0.08955223880597014
19,54987170,21,5.0,6,0.2857142857142857
178,345449343,35,5.0,6,0.17142857142857143
196,380013605,33,5.0,6,0.18181818181818182
378,772841097,38,5.0,6,0.15789473684210525
229,453645026,35,5.0,6,0.17142857142857143
281,582752797,28,5.0,6,0.21428571428571427
417,868768702,114,5.0,7,0.06140350877192982
303,619941271,42,5.0,7,0.16666666666666666
390,805407843,79,5.0,7,0.08860759493670886
314,646149518,23,5.0,7,0.30434782608695654
205,392681682,67,5.0,8,0.11940298507462686
136,253762851,53,5.0,8,0.1509433962264151
7,16483457,60,5.0,8,0.13333333333333333
23,57056668,52,5.0,8,0.15384615384615385
167,328811288,232,5.0,8,0.034482758620689655
363,748065701,92,5.0,8,0.08695652173913043
433,918034537,75,5.0,9,0.12
450,945323010,28,5.0,9,0.32142857142857145
113,223051644,73,5.0,9,0.1232876712328767
260,531585937,35,5.0,10,0.2857142857142857
31,74735317,92,5.0,10,0.10869565217391304
464,963066492,107,5.0,11,0.102803738317757
426,897437023,78,5.0,11,0.14102564102564102
405,833461643,71,5.0,11,0.15492957746478872
231,466064538,29,5.0,12,0.41379310344827586
212,407404113,46,5.0,12,0.2608695652173913
240,486589264,147,5.0,13,0.08843537414965986
144,258419037,116,5.0,13,0.11206896551724138
328,670161917,211,5.0,13,0.061611374407582936
337,685652978,159,5.0,15,0.09433962264150944
394,814216548,100,5.0,16,0.16
140,253917972,111,5.0,16,0.14414414414414414
256,531479992,147,5.0,18,0.12244897959183673
298,614083399,134,5.0,18,0.13432835820895522
438,919751065,98,5.0,19,0.19387755102040816
293,593915883,129,5.0,20,0.15503875968992248
56,127343313,236,5.0,22,0.09322033898305085
479,983445543,207,5.0,22,0.10628019323671498
124,238410319,200,5.0,22,0.11
85,195677102,134,5.0,23,0.17164179104477612
93,197856712,298,5.0,29,0.09731543624161074
190,357308868,183,5.0,30,0.16393442622950818
43,109106777,187,5.0,31,0.1657754010695187
244,486774008,310,5.0,32,0.1032258064516129
342,694290590,360,5.0,42,0.11666666666666667
15,47684938,510,5.0,49,0.09607843137254903
367,758099411,506,5.0,51,0.1007905138339921
354,732252283,534,5.0,55,0.10299625468164794
118,235105995,377,5.0,76,0.20159151193633953
