,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
265,556713834,1,4.0,1,1.0
18,54987170,21,4.0,5,0.23809523809523808
221,442401590,16,4.0,8,0.5
441,932955324,23,4.0,9,0.391304347826087
284,588999286,22,4.0,10,0.45454545454545453
349,726227850,21,4.0,10,0.47619047619047616
384,794852894,16,4.0,10,0.625
482,987021536,19,4.0,10,0.5263157894736842
380,791081896,15,4.0,10,0.6666666666666666
445,943337655,19,4.0,11,0.5789473684210527
453,955015830,30,4.0,11,0.36666666666666664
246,494548935,21,4.0,11,0.5238095238095238
324,668106687,14,4.0,12,0.8571428571428571
321,664218299,23,4.0,12,0.5217391304347826
181,346326614,19,4.0,12,0.631578947368421
127,241892378,21,4.0,12,0.5714285714285714
150,286798751,17,4.0,12,0.7058823529411765
474,981727854,29,4.0,12,0.41379310344827586
169,333479002,16,4.0,13,0.8125
306,630355634,27,4.0,14,0.5185185185185185
412,862140913,23,4.0,14,0.6086956521739131
26,66259499,24,4.0,14,0.5833333333333334
460,963019694,22,4.0,14,0.6363636363636364
131,252448367,22,4.0,14,0.6363636363636364
400,828468145,20,4.0,14,0.7
173,341174535,24,4.0,15,0.625
313,646149518,23,4.0,15,0.6521739130434783
428,902572429,24,4.0,16,0.6666666666666666
449,945323010,28,4.0,16,0.5714285714285714
184,352847602,18,4.0,16,0.8888888888888888
280,582752797,28,4.0,16,0.5714285714285714
70,176210327,24,4.0,16,0.6666666666666666
250,496940864,28,4.0,16,0.5714285714285714
177,345449343,35,4.0,17,0.4857142857142857
470,977457747,22,4.0,17,0.7727272727272727
302,619941271,42,4.0,17,0.40476190476190477
230,466064538,29,4.0,17,0.5862068965517241
104,218800429,25,4.0,18,0.72
467,974237252,26,4.0,18,0.6923076923076923
46,121009604,30,4.0,19,0.6333333333333333
259,531585937,35,4.0,19,0.5428571428571428
147,276205451,27,4.0,19,0.7037037037037037
66,168649310,29,4.0,19,0.6551724137931034
192,376749538,24,4.0,19,0.7916666666666666
357,734632472,39,4.0,19,0.48717948717948717
58,127431946,22,4.0,19,0.8636363636363636
88,196041133,34,4.0,20,0.5882352941176471
120,236392593,27,4.0,20,0.7407407407407407
263,535977674,30,4.0,21,0.7
370,761176783,35,4.0,21,0.6
377,772841097,38,4.0,21,0.5526315789473685
215,415057628,33,4.0,21,0.6363636363636364
345,711329162,38,4.0,21,0.5526315789473685
34,107341965,34,4.0,22,0.6470588235294118
38,108191918,38,4.0,22,0.5789473684210527
195,380013605,33,4.0,22,0.6666666666666666
100,218297570,36,4.0,22,0.6111111111111112
77,187812876,41,4.0,23,0.5609756097560976
317,646926938,31,4.0,24,0.7741935483870968
228,453645026,35,4.0,25,0.7142857142857143
62,153523919,43,4.0,25,0.5813953488372093
408,843035023,54,4.0,26,0.48148148148148145
456,959834931,33,4.0,26,0.7878787878787878
287,591023894,31,4.0,26,0.8387096774193549
81,194533684,39,4.0,27,0.6923076923076923
219,415529274,36,4.0,28,0.7777777777777778
234,475989673,58,4.0,28,0.4827586206896552
