,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
4,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",4.0,0.0,0.0,0.0,0.0,I think's great. The cord length is perfect,I just got this last week. I think's great. The cord length is perfect.,2015-08-31,I think's great. The cord length is perfect I just got this last week. I think's great. The cord length is perfect.,22,pos,4.4399999999999995,0.0,0.0,0.0
6,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",3.0,0.0,0.0,0.0,0.0,Gets extremely hot - I have burned my hand on ...,"Gets extremely hot - I have burned my hand on both the metal grate as well as the plastic body. After use I have to keep on the counter because it is too hot to put away. It has melted 2 different combs and now starts to smoke during use. My hair requires high heat to dry completely and not be frizzy, but this is unsafe and ridiculous. As soon as my new model arrives (not this brand) this is going in the trash!",2015-08-31,"Gets extremely hot - I have burned my hand on ... Gets extremely hot - I have burned my hand on both the metal grate as well as the plastic body. After use I have to keep on the counter because it is too hot to put away. It has melted 2 different combs and now starts to smoke during use. My hair requires high heat to dry completely and not be frizzy, but this is unsafe and ridiculous. As soon as my new model arrives (not this brand) this is going in the trash!",95,neu,3.1734343434343435,0.0,0.0,0.0
10,195677102,conair pro styler ionic conditioning hair dryer,4.0,0.0,0.0,0.0,0.0,Awesome dryer,Got tho on super sale. Love it! Cuts my drying time in half,2015-08-30,Awesome dryer Got tho on super sale. Love it! Cuts my drying time in half,15,neu,3.895833333333333,0.0,0.0,0.0
44,357308868,conair 1875 watt dual voltage folding handle hair dryer,4.0,0.0,0.0,0.0,0.0,Excellent value for travel dryer on a budget,"Compact yet powerful. Easy to pack and travel with. Excellent value for the price. Much better blow dryers are available, but for the price this more than satisfied my needs.",2015-08-27,"Excellent value for travel dryer on a budget Compact yet powerful. Easy to pack and travel with. Excellent value for the price. Much better blow dryers are available, but for the price this more than satisfied my needs.",38,pos,4.158333333333333,0.0,0.0,0.0
60,258419037,"john frieda(r) jf1r 1,875-watt hair dryer",4.0,0.0,0.0,0.0,0.0,"I have fine, curly hair but LOTS of it","I'm not one to write reviews but I thought I'd do it for this product. I have fine, curly hair but LOTS of it. It was taking me a good 25 minutes to blow dry my hair every other day and I was getting tired of it. I felt like I'd tried about every hair dryer (affordable) in the store. I decided I'd try an expensive salon one to see if that'd do the trick. So I splurged and bought the Buttercup Dry Bar hair dryer. It worked well but only cut my drying time down about 5 minutes and in all honesty, I didn't think it was worth the $200. I came across the John Frieda hair dryer and read some good reviews so decided I'd give it a shot, plus it was much more affordable than the Dry Bar. Well, I loved it! It only took me 11 minutes to blow dry this mane of mine plus it gave it extra shine and my ends don't look so dry. It also straightened out my hair better than any other hair dryer I've had which cut down my flat iron time, as well. The only cons are that the buttons are placed in an odd location and it has a weird hum but you get used to that real quick, so it didn't really bother me all that much. But I would definitely recommend this product!",2015-08-25,"I have fine, curly hair but LOTS of it I'm not one to write reviews but I thought I'd do it for this product. I have fine, curly hair but LOTS of it. It was taking me a good 25 minutes to blow dry my hair every other day and I was getting tired of it. I felt like I'd tried about every hair dryer (affordable) in the store. I decided I'd try an expensive salon one to see if that'd do the trick. So I splurged and bought the Buttercup Dry Bar hair dryer. It worked well but only cut my drying time down about 5 minutes and in all honesty, I didn't think it was worth the $200. I came across the John Frieda hair dryer and read some good reviews so decided I'd give it a shot, plus it was much more affordable than the Dry Bar. Well, I loved it! It only took me 11 minutes to blow dry this mane of mine plus it gave it extra shine and my ends don't look so dry. It also straightened out my hair better than any other hair dryer I've had which cut down my flat iron time, as well. The only cons are that the buttons are placed in an odd location and it has a weird hum but you get used to that real quick, so it didn't really bother me all that much. But I would definitely recommend this product!",246,neu,3.1881481481481484,0.0,0.0,0.0
61,121009604,conair 1875 watt ergonomic handle hair dryer,4.0,0.0,0.0,0.0,0.0,"Simple, yet long lasting!","I am giving this hair dryer 5 stars for being so amazingly simple!<br />There are no frills or cool settings (Low, High, Cool) just basic user-friendly hair drying action.<br />CAN I TELL YOU THIS THING LASTS! I've had mine for about 7 years now and works like the day i got it!<br />Just do yourself a favor and unscrew the back every now and then and clean the lint out of the filter (wire mesh on back)",2015-08-25,"Simple, yet long lasting! I am giving this hair dryer 5 stars for being so amazingly simple!<br />There are no frills or cool settings (Low, High, Cool) just basic user-friendly hair drying action.<br />CAN I TELL YOU THIS THING LASTS! I've had mine for about 7 years now and works like the day i got it!<br />Just do yourself a favor and unscrew the back every now and then and clean the lint out of the filter (wire mesh on back)",81,neu,3.296111111111111,0.0,0.0,0.0
80,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",3.0,1.0,2.0,0.0,0.0,"Dangerous, shoots SPARKS and FLAMES!","Have had it for about 4 years and thought it did a good enough job.  I use it on  medium heat/blow settings and always clean the air intake screen at the first sign of lint.  However, it has recently been throwing out sparks and some actual flames.  At first it was a high pitched screeching noise, then popping, then sparks, now FLAMES!  It is in the trash and I will be looking for a better dryer.  Funny that my mother has had the same dryer for over 15 years, but this modern &#34;high tech&#34; stuff is just mass produced junk!",2015-08-23,"Dangerous, shoots SPARKS and FLAMES! Have had it for about 4 years and thought it did a good enough job.  I use it on  medium heat/blow settings and always clean the air intake screen at the first sign of lint.  However, it has recently been throwing out sparks and some actual flames.  At first it was a high pitched screeching noise, then popping, then sparks, now FLAMES!  It is in the trash and I will be looking for a better dryer.  Funny that my mother has had the same dryer for over 15 years, but this modern &#34;high tech&#34; stuff is just mass produced junk!",105,neu,3.31025641025641,0.5,6.475006475006475e-05,0.00020868427842490682
129,758099411,conair 1875 watt tourmaline ceramic hair dryer,4.0,0.0,0.0,0.0,0.0,"Go for it, its great!",This dryer works so good. I have really coarse and thick hair and it used to take me a really long time to blow dry my hair (with an ordinary dryer). Now I bet I have cut down my drying time by at least half if not more. Can't beat the price for this type of technology!,2015-08-19,"Go for it, its great! This dryer works so good. I have really coarse and thick hair and it used to take me a really long time to blow dry my hair (with an ordinary dryer). Now I bet I have cut down my drying time by at least half if not more. Can't beat the price for this type of technology!",62,neu,3.017929292929293,0.0,0.0,0.0
139,943337655,"turbo power 3200 twin turbo hair dryer, 36 ounce",4.0,0.0,1.0,0.0,0.0,BEST BLOW DRYER EVER,I bought this hair blower cause I lost the back of my other blow dryer I must say this has been my favorite blow dryer I have really curly hair and this blow dryer does the job it's very hot so I don't have to spend to much time on one piece of hair every time I do my hair I feel like I just came out the salon,2015-08-18,BEST BLOW DRYER EVER I bought this hair blower cause I lost the back of my other blow dryer I must say this has been my favorite blow dryer I have really curly hair and this blow dryer does the job it's very hot so I don't have to spend to much time on one piece of hair every time I do my hair I feel like I just came out the salon,73,neu,3.6,0.0,0.0,0.0
152,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",4.0,0.0,0.0,0.0,0.0,Trusted brand and series,"I used this blow dryer for 4 years until it randomly broke one day but it always gave my hair a silky, smooth, and shiny finish (I have straight hair). I would say the noise level is average, not too loud but not whisper quiet either. It has all the heat and speed settings you could need for a blow out and the retractable cord is the best feature because it prevents a dreaded tangled mess.",2015-08-18,"Trusted brand and series I used this blow dryer for 4 years until it randomly broke one day but it always gave my hair a silky, smooth, and shiny finish (I have straight hair). I would say the noise level is average, not too loud but not whisper quiet either. It has all the heat and speed settings you could need for a blow out and the retractable cord is the best feature because it prevents a dreaded tangled mess.",80,neu,3.21875,0.0,0.0,0.0
