,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
2,16483457,16,3.0,1,0.0625
81,253917972,5,3.0,1,0.2
90,286798751,12,3.0,1,0.08333333333333333
92,290876515,33,3.0,1,0.030303030303030304
219,768062995,8,3.0,1,0.125
104,341174535,2,3.0,1,0.5
106,345449343,2,3.0,1,0.5
113,357308868,13,3.0,1,0.07692307692307693
77,253762851,6,3.0,1,0.16666666666666666
133,442401590,11,3.0,1,0.09090909090909091
152,496940864,2,3.0,1,0.5
160,535977674,2,3.0,1,0.5
167,569841544,3,3.0,1,0.3333333333333333
174,593915883,30,3.0,1,0.03333333333333333
181,630355634,2,3.0,1,0.5
186,668106687,8,3.0,1,0.125
223,791081896,8,3.0,1,0.125
135,443954263,11,3.0,1,0.09090909090909091
243,843035023,6,3.0,1,0.16666666666666666
101,333479002,5,3.0,1,0.2
25,122140779,5,3.0,1,0.2
32,176210327,1,3.0,1,1.0
35,187812876,8,3.0,1,0.125
256,902572429,2,3.0,1,0.5
13,57056668,1,3.0,1,1.0
267,932955324,2,3.0,1,0.5
278,974237252,2,3.0,1,0.5
252,888313825,1,3.0,1,1.0
60,221722169,4,3.0,1,0.25
15,66259499,6,3.0,2,0.3333333333333333
62,223051644,6,3.0,2,0.3333333333333333
226,794852894,7,3.0,2,0.2857142857142857
157,531585937,5,3.0,2,0.4
154,531479992,13,3.0,2,0.15384615384615385
232,814216548,8,3.0,2,0.25
183,635386699,5,3.0,2,0.4
18,74735317,2,3.0,2,1.0
204,711329162,5,3.0,2,0.4
254,897437023,7,3.0,2,0.2857142857142857
118,391944105,10,3.0,2,0.2
127,415057628,11,3.0,3,0.2727272727272727
6,26711891,8,3.0,3,0.375
44,196041133,6,3.0,3,0.5
177,614083399,14,3.0,3,0.21428571428571427
240,833461643,13,3.0,3,0.23076923076923078
131,415529274,5,3.0,3,0.6
171,588999286,7,3.0,3,0.42857142857142855
19,108191918,11,3.0,3,0.2727272727272727
235,815035474,15,3.0,3,0.2
274,963019694,26,3.0,3,0.11538461538461539
282,981727854,10,3.0,3,0.3
42,195677102,6,3.0,3,0.5
246,862140913,5,3.0,3,0.6
163,560455235,13,3.0,4,0.3076923076923077
121,392681682,7,3.0,4,0.5714285714285714
84,258419037,20,3.0,4,0.2
189,670161917,17,3.0,4,0.23529411764705882
249,868768702,24,3.0,5,0.20833333333333334
141,475989673,8,3.0,5,0.625
98,328811288,21,3.0,5,0.23809523809523808
28,127343313,23,3.0,6,0.2608695652173913
285,983445543,24,3.0,7,0.2916666666666667
21,109106777,20,3.0,8,0.4
229,805407843,18,3.0,9,0.5
66,235105995,30,3.0,9,0.3
71,238410319,33,3.0,9,0.2727272727272727
39,194533684,28,3.0,10,0.35714285714285715
216,758099411,29,3.0,10,0.3448275862068966
47,197856712,28,3.0,11,0.39285714285714285
271,955015830,25,3.0,11,0.44
9,47684938,45,3.0,12,0.26666666666666666
196,685652978,36,3.0,13,0.3611111111111111
108,346326614,30,3.0,13,0.43333333333333335
55,218297570,36,3.0,13,0.3611111111111111
208,732252283,53,3.0,14,0.2641509433962264
193,676407800,24,3.0,15,0.625
200,694290590,64,3.0,15,0.234375
51,199558933,49,3.0,18,0.3673469387755102
146,486774008,53,3.0,22,0.41509433962264153
263,919751065,72,3.0,26,0.3611111111111111
