,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
151,496940864,2,2.0,1,0.5
105,345449343,2,2.0,1,0.5
130,415529274,5,2.0,1,0.2
149,494548935,2,2.0,1,0.5
153,531479992,13,2.0,1,0.07692307692307693
188,670161917,17,2.0,1,0.058823529411764705
211,734632472,2,2.0,1,0.5
103,341174535,2,2.0,1,0.5
215,758099411,29,2.0,1,0.034482758620689655
231,814216548,8,2.0,1,0.125
239,833461643,13,2.0,1,0.07692307692307693
245,862140913,5,2.0,1,0.2
253,897437023,7,2.0,1,0.14285714285714285
258,918034537,7,2.0,1,0.14285714285714285
266,932955324,2,2.0,1,0.5
225,794852894,7,2.0,1,0.14285714285714285
97,328811288,21,2.0,1,0.047619047619047616
287,987021536,2,2.0,1,0.5
5,26711891,8,2.0,1,0.125
80,253917972,5,2.0,1,0.2
89,286798751,12,2.0,1,0.08333333333333333
59,221722169,4,2.0,1,0.25
14,66259499,6,2.0,1,0.16666666666666666
203,711329162,5,2.0,2,0.4
34,187812876,8,2.0,2,0.25
192,676407800,24,2.0,2,0.08333333333333333
248,868768702,24,2.0,2,0.08333333333333333
162,560455235,13,2.0,2,0.15384615384615385
1,16483457,16,2.0,2,0.125
273,963019694,26,2.0,2,0.07692307692307693
276,963066492,9,2.0,2,0.2222222222222222
140,475989673,8,2.0,2,0.25
74,241892378,4,2.0,2,0.5
126,415057628,11,2.0,2,0.18181818181818182
120,392681682,7,2.0,2,0.2857142857142857
112,357308868,13,2.0,2,0.15384615384615385
213,748065701,7,2.0,2,0.2857142857142857
27,127343313,23,2.0,3,0.13043478260869565
281,981727854,10,2.0,3,0.3
38,194533684,28,2.0,3,0.10714285714285714
207,732252283,53,2.0,3,0.05660377358490566
170,588999286,7,2.0,3,0.42857142857142855
145,486774008,53,2.0,3,0.05660377358490566
65,235105995,30,2.0,4,0.13333333333333333
284,983445543,24,2.0,4,0.16666666666666666
46,197856712,28,2.0,5,0.17857142857142858
228,805407843,18,2.0,5,0.2777777777777778
83,258419037,20,2.0,5,0.25
8,47684938,45,2.0,6,0.13333333333333333
70,238410319,33,2.0,6,0.18181818181818182
199,694290590,64,2.0,8,0.125
54,218297570,36,2.0,9,0.25
270,955015830,25,2.0,12,0.48
107,346326614,30,2.0,12,0.4
50,199558933,49,2.0,12,0.24489795918367346
195,685652978,36,2.0,14,0.3888888888888889
262,919751065,72,2.0,22,0.3055555555555556
