,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
4,16483457,16,5.0,1,0.0625
139,466064538,1,5.0,1,1.0
279,974237252,2,5.0,1,0.5
150,494548935,2,5.0,1,0.5
156,531479992,13,5.0,1,0.07692307692307693
159,531585937,5,5.0,1,0.2
165,560455235,13,5.0,1,0.07692307692307693
138,453645026,9,5.0,1,0.1111111111111111
179,614083399,14,5.0,1,0.07142857142857142
198,685652978,36,5.0,1,0.027777777777777776
221,768062995,8,5.0,1,0.125
234,814216548,8,5.0,1,0.125
237,815035474,15,5.0,1,0.06666666666666667
257,902572429,2,5.0,1,0.5
260,918034537,7,5.0,1,0.14285714285714285
191,670161917,17,5.0,1,0.058823529411764705
129,415057628,11,5.0,1,0.09090909090909091
144,486589264,9,5.0,1,0.1111111111111111
116,376749538,2,5.0,1,0.5
17,66259499,6,5.0,1,0.16666666666666666
23,109106777,20,5.0,1,0.05
49,197856712,28,5.0,1,0.03571428571428571
57,218297570,36,5.0,1,0.027777777777777776
64,223051644,6,5.0,1,0.16666666666666666
73,238410319,33,5.0,1,0.030303030303030304
288,987021536,2,5.0,1,0.5
86,258419037,20,5.0,1,0.05
100,328811288,21,5.0,1,0.047619047619047616
88,276205451,2,5.0,1,0.5
41,194533684,28,5.0,2,0.07142857142857142
111,352847602,3,5.0,2,0.6666666666666666
251,868768702,24,5.0,2,0.08333333333333333
79,253762851,6,5.0,2,0.3333333333333333
53,199558933,49,5.0,2,0.04081632653061224
125,407404113,3,5.0,2,0.6666666666666666
148,486774008,53,5.0,2,0.03773584905660377
210,732252283,53,5.0,2,0.03773584905660377
202,694290590,64,5.0,3,0.046875
176,593915883,30,5.0,3,0.1
11,47684938,45,5.0,3,0.06666666666666667
265,919751065,72,5.0,3,0.041666666666666664
242,833461643,13,5.0,4,0.3076923076923077
68,235105995,30,5.0,4,0.13333333333333333
