,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
206,726227850,1,4.0,1,1.0
87,276205451,2,4.0,1,0.5
172,588999286,7,4.0,1,0.14285714285714285
95,316756803,1,4.0,1,1.0
173,591023894,1,4.0,1,1.0
247,862140913,5,4.0,1,0.2
110,352847602,3,4.0,1,0.3333333333333333
222,772841097,1,4.0,1,1.0
115,376749538,2,4.0,1,0.5
182,630355634,2,4.0,1,0.5
76,252448367,1,4.0,1,1.0
31,153523919,1,4.0,1,1.0
33,179801564,1,4.0,1,1.0
161,535977674,2,4.0,1,0.5
122,392681682,7,4.0,1,0.14285714285714285
24,121009604,1,4.0,1,1.0
124,407404113,3,4.0,1,0.3333333333333333
132,415529274,5,4.0,1,0.2
12,54987170,1,4.0,1,1.0
205,711329162,5,4.0,1,0.2
142,475989673,8,4.0,1,0.125
30,127431946,1,4.0,1,1.0
212,734632472,2,4.0,1,0.5
117,380013605,2,4.0,2,1.0
158,531585937,5,4.0,2,0.4
168,569841544,3,4.0,2,0.6666666666666666
218,761176783,2,4.0,2,1.0
169,582752797,2,4.0,2,1.0
75,241892378,4,4.0,2,0.5
280,977457747,2,4.0,2,1.0
69,236392593,2,4.0,2,1.0
16,66259499,6,4.0,2,0.3333333333333333
272,955015830,25,4.0,2,0.08
61,221722169,4,4.0,2,0.5
58,218800429,2,4.0,2,1.0
268,943337655,2,4.0,2,1.0
180,619941271,2,4.0,2,1.0
238,828468145,2,4.0,2,1.0
78,253762851,6,4.0,3,0.5
184,635386699,5,4.0,3,0.6
123,396337866,3,4.0,3,1.0
43,195677102,6,4.0,3,0.5
63,223051644,6,4.0,3,0.5
82,253917972,5,4.0,3,0.6
45,196041133,6,4.0,3,0.5
255,897437023,7,4.0,4,0.5714285714285714
102,333479002,5,4.0,4,0.8
26,122140779,5,4.0,4,0.8
269,945323010,4,4.0,4,1.0
227,794852894,7,4.0,4,0.5714285714285714
230,805407843,18,4.0,4,0.2222222222222222
233,814216548,8,4.0,4,0.5
7,26711891,8,4.0,4,0.5
283,981727854,10,4.0,4,0.4
0,423960,4,4.0,4,1.0
166,568981338,5,4.0,5,1.0
94,303775294,5,4.0,5,1.0
128,415057628,11,4.0,5,0.45454545454545453
109,346326614,30,4.0,5,0.16666666666666666
241,833461643,13,4.0,5,0.38461538461538464
244,843035023,6,4.0,5,0.8333333333333334
259,918034537,7,4.0,5,0.7142857142857143
36,187812876,8,4.0,5,0.625
214,748065701,7,4.0,5,0.7142857142857143
220,768062995,8,4.0,6,0.75
164,560455235,13,4.0,6,0.46153846153846156
185,664218299,6,4.0,6,1.0
224,791081896,8,4.0,7,0.875
194,676407800,24,4.0,7,0.2916666666666667
277,963066492,9,4.0,7,0.7777777777777778
187,668106687,8,4.0,7,0.875
197,685652978,36,4.0,8,0.2222222222222222
137,453645026,9,4.0,8,0.8888888888888888
20,108191918,11,4.0,8,0.7272727272727273
143,486589264,9,4.0,8,0.8888888888888888
119,391944105,10,4.0,8,0.8
155,531479992,13,4.0,9,0.6923076923076923
178,614083399,14,4.0,10,0.7142857142857143
136,443954263,11,4.0,10,0.9090909090909091
85,258419037,20,4.0,10,0.5
134,442401590,11,4.0,10,0.9090909090909091
114,357308868,13,4.0,10,0.7692307692307693
91,286798751,12,4.0,10,0.8333333333333334
22,109106777,20,4.0,11,0.55
48,197856712,28,4.0,11,0.39285714285714285
190,670161917,17,4.0,11,0.6470588235294118
236,815035474,15,4.0,11,0.7333333333333333
40,194533684,28,4.0,12,0.42857142857142855
3,16483457,16,4.0,12,0.75
56,218297570,36,4.0,13,0.3611111111111111
67,235105995,30,4.0,13,0.43333333333333335
99,328811288,21,4.0,13,0.6190476190476191
286,983445543,24,4.0,13,0.5416666666666666
29,127343313,23,4.0,14,0.6086956521739131
250,868768702,24,4.0,15,0.625
52,199558933,49,4.0,17,0.3469387755102041
72,238410319,33,4.0,17,0.5151515151515151
217,758099411,29,4.0,18,0.6206896551724138
264,919751065,72,4.0,20,0.2777777777777778
275,963019694,26,4.0,21,0.8076923076923077
10,47684938,45,4.0,24,0.5333333333333333
147,486774008,53,4.0,26,0.49056603773584906
175,593915883,30,4.0,26,0.8666666666666667
93,290876515,33,4.0,32,0.9696969696969697
209,732252283,53,4.0,34,0.6415094339622641
201,694290590,64,4.0,38,0.59375
