,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
0,423421857,danby 0.7 cu.ft. countertop microwave,3.0,0.0,0.0,0.0,1.0,Do not recommend it. go use your money for something more ...,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,2015-08-31,Do not recommend it. go use your money for something more ... 3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,52,neu,3.4,0.0,0.0,0.0
1,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Looks as good as the picture,Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,2015-08-31,Looks as good as the picture Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,76,neu,3.3644444444444446,0.0,0.0,0.0
2,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Four Stars,"Very nice microwave, great price",2015-08-31,"Four Stars Very nice microwave, great price",7,pos,4.58,0.0,0.0,0.0
3,423421857,danby 0.7 cu.ft. countertop microwave,3.0,0.0,1.0,0.0,1.0,quiet,"Quiet, but does not seem like 1000 watt power.",2015-08-31,"quiet Quiet, but does not seem like 1000 watt power.",10,neu,3.0,0.0,0.0,0.0
4,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",3.0,0.0,0.0,0.0,1.0,Four Stars,It's bigger than I thought.,2015-08-31,Four Stars It's bigger than I thought.,7,neu,3.0,0.0,0.0,0.0
5,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Great Microwave,Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.,2015-08-31,Great Microwave Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.,40,neu,3.95625,0.0,0.0,0.0
7,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Was pleased with the packaging and easy instructions to set it ...,Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.,2015-08-29,Was pleased with the packaging and easy instructions to set it ... Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.,32,neu,3.8666666666666667,0.0,0.0,0.0
8,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Great Value for the Money.,Neat little unit. I have no complaints.,2015-08-29,Great Value for the Money. Neat little unit. I have no complaints.,12,neu,3.6125,0.0,0.0,0.0
9,423421857,danby 0.7 cu.ft. countertop microwave,3.0,1.0,1.0,0.0,1.0,It had great reviews when we ordered it,"The finish is nice and matches our stainless steel/black wall oven nicely. However, the button to open the door no longer opens on the first try or needs some help. And occasionally something internal to the microwave makes a noise when the tray is rotating.",2015-08-28,"It had great reviews when we ordered it The finish is nice and matches our stainless steel/black wall oven nicely. However, the button to open the door no longer opens on the first try or needs some help. And occasionally something internal to the microwave makes a noise when the tray is rotating.",53,neu,3.6125,1.0,0.00019496977968414895,0.0006677013733184891
10,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Great little microwave!,"Excellent small microwave!  I recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  This microwave was perfect for it.  Its footprint is small, however it packs a punch.  All my plates fit it and cooks everything evenly.  The only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but I'm not going to fault it for that, I just simply put my other hand on top of it while opening/closing.",2015-08-28,"Great little microwave! Excellent small microwave!  I recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  This microwave was perfect for it.  Its footprint is small, however it packs a punch.  All my plates fit it and cooks everything evenly.  The only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but I'm not going to fault it for that, I just simply put my other hand on top of it while opening/closing.",97,neu,3.4254464285714286,0.0,0.0,0.0
11,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Four Stars,Works Really Well,2015-08-27,Four Stars Works Really Well,5,neu,3.4,0.0,0.0,0.0
12,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",4.0,1.0,1.0,0.0,1.0,Five Stars,Love this microwave!  Gives me more space in my kitchen. ..only con is the price.,2015-08-27,Five Stars Love this microwave!  Gives me more space in my kitchen. ..only con is the price.,17,pos,4.125,1.0,0.00019496977968414895,0.0007935004433032212
13,523301568,microwave cavity paint 98qbp0302,3.0,0.0,1.0,0.0,1.0,I never used this for my wife insisted we buy ...,I never used this for my wife insisted we buy a new microwave after I bought this. I did contact GE and they gave me a 20$ credit  and said not to worry about  paint peeling off. Tell that to your wife! That was OK because I read some reviews which made it sound alittle difficult to use.,2015-08-27,I never used this for my wife insisted we buy ... I never used this for my wife insisted we buy a new microwave after I bought this. I did contact GE and they gave me a 20$ credit  and said not to worry about  paint peeling off. Tell that to your wife! That was OK because I read some reviews which made it sound alittle difficult to use.,69,neu,3.2852272727272727,0.0,0.0,0.0
15,692404913,samsung counter top microwave,4.0,1.0,1.0,0.0,1.0,... for about a week and so far it's been great; the microwaving powder is quite strong,"Had this for about a week and so far it's been great; the microwaving powder is quite strong; but the grill plate is too high for some bulkier food, that would be my only complain.",2015-08-25,"... for about a week and so far it's been great; the microwaving powder is quite strong Had this for about a week and so far it's been great; the microwaving powder is quite strong; but the grill plate is too high for some bulkier food, that would be my only complain.",52,neu,3.7066666666666666,1.0,0.00019496977968414895,0.0007389708076350751
16,692404913,samsung counter top microwave,3.0,5.0,7.0,0.0,1.0,I only got to use the grill feature once and it was fun.,the microwave turntable and light would come by itself and sometimes when you closed the door.  At first we were able to cook with the microwave but eventually it got to where I couldn't get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating.  So sadly we had to send it back.  I only got to use the grill feature once and it was fun.,2015-08-25,I only got to use the grill feature once and it was fun. the microwave turntable and light would come by itself and sometimes when you closed the door.  At first we were able to cook with the microwave but eventually it got to where I couldn't get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating.  So sadly we had to send it back.  I only got to use the grill feature once and it was fun.,90,neu,3.209090909090909,0.7142857142857143,0.0006963206417291035,0.00219769677201026
17,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",4.0,1.0,2.0,0.0,1.0,This is a funny story.,"This is a funny story....years ago my husband found one of these cube microwaves at a garage sale for $25.00!  It was perfect for our daughter as she has an extremely SMALL kitchen with very little counter space etc.  Recently I moved to a older home, new home to me with lots of charm and very little counter space. No room for an over the range microwave. My new little Whirlpool Cube fits perfectly into the corner space of my new little kitchen!  Love it, Love it, Love it....however $25.00 would have been an easier price on the pocket book! LOL",2015-08-24,"This is a funny story. This is a funny story....years ago my husband found one of these cube microwaves at a garage sale for $25.00!  It was perfect for our daughter as she has an extremely SMALL kitchen with very little counter space etc.  Recently I moved to a older home, new home to me with lots of charm and very little counter space. No room for an over the range microwave. My new little Whirlpool Cube fits perfectly into the corner space of my new little kitchen!  Love it, Love it, Love it....however $25.00 would have been an easier price on the pocket book! LOL",106,neu,3.4893202861952863,0.5,9.748488984207447e-05,0.00035663176653371
18,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Love to nuke,"Good price, has continued to work very well since December 2014 (8 months). My only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center. It therefore makes a rattling sound as the gear turns. I don't see what could cause the loose fit. Nevertheless, the carousel does turn, just not very quietly.<br /><br />Otherwise, great buy. It is still easy to clean. I love using the 1, 2 and 3 settings for one-touch cooking times of 1, 2 or 3 minutes. I really like being able to turn the microwave on for 30 seconds by simply touching &#34;Start&#34; one time. Some people have complained that the door is hard to open so that when the large &#34;open&#34; button is pushed, the entire microwave moves, but I have not had that experience. I seldom use the programmed settings for vegetables, popcorn, potato, etc. I had a bad experience burning a minibag of popcorn - the microwave didn't sense a need to stop cooking. However, it's fine for baking a potato.<br /><br />I do not understand the benefit of the rather extreme concave back to the interior, which contributes to the 1.4 cu ft interior volume. But the size is right for me regardless. Certainly this was the best buy on Amazon for my purposes.",2015-08-24,"Love to nuke Good price, has continued to work very well since December 2014 (8 months). My only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center. It therefore makes a rattling sound as the gear turns. I don't see what could cause the loose fit. Nevertheless, the carousel does turn, just not very quietly.<br /><br />Otherwise, great buy. It is still easy to clean. I love using the 1, 2 and 3 settings for one-touch cooking times of 1, 2 or 3 minutes. I really like being able to turn the microwave on for 30 seconds by simply touching &#34;Start&#34; one time. Some people have complained that the door is hard to open so that when the large &#34;open&#34; button is pushed, the entire microwave moves, but I have not had that experience. I seldom use the programmed settings for vegetables, popcorn, potato, etc. I had a bad experience burning a minibag of popcorn - the microwave didn't sense a need to stop cooking. However, it's fine for baking a potato.<br /><br />I do not understand the benefit of the rather extreme concave back to the interior, which contributes to the 1.4 cu ft interior volume. But the size is right for me regardless. Certainly this was the best buy on Amazon for my purposes.",227,neu,3.3661744505494506,0.0,0.0,0.0
19,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,this is a great product. The size is perfect and it works ...,"Although it slides when you open the door, this is a great product. The size is perfect and it works great.<br /><br />Because of how my kitchen is designed, I cant push my microwave against the wall.  If you can, then your microwave will not slide.",2015-08-24,"this is a great product. The size is perfect and it works ... Although it slides when you open the door, this is a great product. The size is perfect and it works great.<br /><br />Because of how my kitchen is designed, I cant push my microwave against the wall.  If you can, then your microwave will not slide.",59,pos,4.4399999999999995,0.0,0.0,0.0
20,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,1.0,Four Stars,Solid microwave for a good price.,2015-08-24,Four Stars Solid microwave for a good price.,8,neu,3.7,0.0,0.0,0.0
22,930071734,ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017,4.0,0.0,0.0,0.0,1.0,"Timely delivery, good product.","Prompt delivery, my microwave is back up and running.",2015-08-24,"Timely delivery, good product. Prompt delivery, my microwave is back up and running.",13,neu,3.7,0.0,0.0,0.0
23,423421857,danby 0.7 cu.ft. countertop microwave,5.0,0.0,0.0,0.0,1.0,Five Stars,very attractive and useful mircorwave,2015-08-24,Five Stars very attractive and useful mircorwave,7,pos,4.3,0.0,0.0,0.0
24,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",4.0,0.0,0.0,0.0,1.0,Whirlpool WMC20005YW 0.5 cubic ft. microwave white,Although only .5 it holds a nice size dish.  I love that the controls are at the bottom. Counter space is limited so this is peer.  Would be great in a dorm room too,2015-08-23,Whirlpool WMC20005YW 0.5 cubic ft. microwave white Although only .5 it holds a nice size dish.  I love that the controls are at the bottom. Counter space is limited so this is peer.  Would be great in a dorm room too,41,neu,3.6095238095238096,0.0,0.0,0.0
