,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
83,760984384,4,3.0,1,0.25
65,618770050,5,3.0,1,0.2
61,572011672,10,3.0,1,0.1
53,544821753,15,3.0,1,0.06666666666666667
43,494668275,1,3.0,1,1.0
113,991090482,14,3.0,2,0.14285714285714285
6,155528792,3,3.0,2,0.6666666666666666
8,166483932,6,3.0,2,0.3333333333333333
107,981162112,3,3.0,2,0.6666666666666666
13,215953885,6,3.0,2,0.3333333333333333
93,809249591,12,3.0,2,0.16666666666666666
80,731025324,14,3.0,2,0.14285714285714285
28,392967251,2,3.0,2,1.0
109,984005611,18,3.0,2,0.1111111111111111
76,721617315,10,3.0,3,0.3
69,690479711,20,3.0,3,0.15
49,542519500,10,3.0,3,0.3
10,168181302,9,3.0,3,0.3333333333333333
16,242727854,7,3.0,3,0.42857142857142855
27,379992322,3,3.0,3,1.0
41,486381187,15,3.0,4,0.26666666666666666
57,565072108,15,3.0,4,0.26666666666666666
100,930071734,31,3.0,4,0.12903225806451613
45,523301568,73,3.0,7,0.0958904109589041
22,305608994,37,3.0,8,0.21621621621621623
19,295520151,45,3.0,9,0.2
34,459626087,24,3.0,9,0.375
37,464779766,25,3.0,9,0.36
86,771401205,69,3.0,12,0.17391304347826086
96,827502283,66,3.0,13,0.19696969696969696
104,943347999,27,3.0,13,0.48148148148148145
73,692404913,42,3.0,14,0.3333333333333333
1,109226352,69,3.0,15,0.21739130434782608
31,423421857,363,3.0,88,0.24242424242424243
