,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
116,994339247,4,2.0,1,0.25
5,147401377,2,2.0,1,0.5
12,215953885,6,2.0,1,0.16666666666666666
15,242727854,7,2.0,1,0.14285714285714285
92,809249591,12,2.0,1,0.08333333333333333
79,731025324,14,2.0,1,0.07142857142857142
64,618770050,5,2.0,1,0.2
48,542519500,10,2.0,1,0.1
60,572011672,10,2.0,1,0.1
72,692404913,42,2.0,2,0.047619047619047616
68,690479711,20,2.0,2,0.1
56,565072108,15,2.0,2,0.13333333333333333
112,991090482,14,2.0,2,0.14285714285714285
40,486381187,15,2.0,3,0.2
36,464779766,25,2.0,3,0.12
85,771401205,69,2.0,3,0.043478260869565216
95,827502283,66,2.0,3,0.045454545454545456
44,523301568,73,2.0,4,0.0547945205479452
18,295520151,45,2.0,4,0.08888888888888889
103,943347999,27,2.0,4,0.14814814814814814
52,544821753,15,2.0,5,0.3333333333333333
0,109226352,69,2.0,5,0.07246376811594203
30,423421857,363,2.0,31,0.08539944903581267
