,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
71,690479711,20,5.0,1,0.05
21,295520151,45,5.0,1,0.022222222222222223
108,981162112,3,5.0,1,0.3333333333333333
106,943347999,27,5.0,1,0.037037037037037035
88,771401205,69,5.0,1,0.014492753623188406
78,721617315,10,5.0,1,0.1
59,565072108,15,5.0,1,0.06666666666666667
67,618770050,5,5.0,1,0.2
111,984005611,18,5.0,2,0.1111111111111111
115,991090482,14,5.0,2,0.14285714285714285
118,994339247,4,5.0,2,0.5
24,305608994,37,5.0,2,0.05405405405405406
63,572011672,10,5.0,2,0.2
55,544821753,15,5.0,3,0.2
82,731025324,14,5.0,3,0.21428571428571427
39,464779766,25,5.0,3,0.12
26,309267414,11,5.0,3,0.2727272727272727
75,692404913,42,5.0,4,0.09523809523809523
91,801135043,12,5.0,4,0.3333333333333333
98,827502283,66,5.0,4,0.06060606060606061
3,109226352,69,5.0,5,0.07246376811594203
102,930071734,31,5.0,6,0.1935483870967742
47,523301568,73,5.0,8,0.1095890410958904
33,423421857,363,5.0,54,0.1487603305785124
