,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
117,994339247,4,4.0,1,0.25
7,155528792,3,4.0,1,0.3333333333333333
99,838179571,1,4.0,1,1.0
89,784164614,2,4.0,2,1.0
66,618770050,5,4.0,2,0.4
14,215953885,6,4.0,3,0.5
17,242727854,7,4.0,3,0.42857142857142855
84,760984384,4,4.0,3,0.75
9,166483932,6,4.0,4,0.6666666666666666
54,544821753,15,4.0,5,0.3333333333333333
77,721617315,10,4.0,6,0.6
50,542519500,10,4.0,6,0.6
62,572011672,10,4.0,6,0.6
11,168181302,9,4.0,6,0.6666666666666666
90,801135043,12,4.0,8,0.6666666666666666
42,486381187,15,4.0,8,0.5333333333333333
81,731025324,14,4.0,8,0.5714285714285714
25,309267414,11,4.0,8,0.7272727272727273
58,565072108,15,4.0,8,0.5333333333333333
114,991090482,14,4.0,8,0.5714285714285714
105,943347999,27,4.0,9,0.3333333333333333
94,809249591,12,4.0,9,0.75
38,464779766,25,4.0,10,0.4
110,984005611,18,4.0,14,0.7777777777777778
70,690479711,20,4.0,14,0.7
35,459626087,24,4.0,15,0.625
101,930071734,31,4.0,21,0.6774193548387096
74,692404913,42,4.0,22,0.5238095238095238
23,305608994,37,4.0,27,0.7297297297297297
20,295520151,45,4.0,31,0.6888888888888889
2,109226352,69,4.0,44,0.6376811594202898
97,827502283,66,4.0,46,0.696969696969697
87,771401205,69,4.0,53,0.7681159420289855
46,523301568,73,4.0,54,0.7397260273972602
32,423421857,363,4.0,189,0.5206611570247934
