,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
6,295520151,sharp microwave drawer oven,3.0,0.0,0.0,0.0,0.0,Stopped working after 2 years,We bought this microwave 2 years ago as part of a home remodel. It was great while it worked but recently stopped working. Sharp warranty is only 1 year. For the amount of money we spent on this I would expect it to last more than 2 years.,2015-08-30,Stopped working after 2 years We bought this microwave 2 years ago as part of a home remodel. It was great while it worked but recently stopped working. Sharp warranty is only 1 year. For the amount of money we spent on this I would expect it to last more than 2 years.,53,neu,3.3071428571428574,0.0,0.0,0.0
14,565072108,lg over-the-range microwave oven with 300 cfm venting system,2.0,3.0,3.0,0.0,0.0,"This device needs to be recalled, deaths are going to occur.","We are currently on the third microwave from LG. The first microwave failed after 2 weeks.  It took 2 weeks for LG to get us a new microwave.  The next microwave lasted 11 months.  It went out on thanksgiving, we bought a 69.00 off brand microwave, it has worked perfectly for last 18 months. The LG failed again after 18 months.  Lowes and Home Depot should replace microwave.  Reading the blog, I have never had a brand of microwave failed this often.  I am going to take LG to court.  They have to know there is a major problem, if so many failures, yet they continued producing this worthless piece of junk.  This appears to be another bean counter situation, cheaper to give new machine and fix damage, than recall product.",2015-08-26,"This device needs to be recalled, deaths are going to occur. We are currently on the third microwave from LG. The first microwave failed after 2 weeks.  It took 2 weeks for LG to get us a new microwave.  The next microwave lasted 11 months.  It went out on thanksgiving, we bought a 69.00 off brand microwave, it has worked perfectly for last 18 months. The LG failed again after 18 months.  Lowes and Home Depot should replace microwave.  Reading the blog, I have never had a brand of microwave failed this often.  I am going to take LG to court.  They have to know there is a major problem, if so many failures, yet they continued producing this worthless piece of junk.  This appears to be another bean counter situation, cheaper to give new machine and fix damage, than recall product.",142,neu,2.9693181818181817,1.0,0.0007655014034192396,0.0020487909654399493
21,565072108,lg over-the-range microwave oven with 300 cfm venting system,2.0,1.0,1.0,0.0,0.0,No timer,This microwave has every button in the world except a simple timer. We used our microwave timer for everything. It's so stupid that a microwave this expensive doesn't include a basic kitchen timer.,2015-08-24,No timer This microwave has every button in the world except a simple timer. We used our microwave timer for everything. It's so stupid that a microwave this expensive doesn't include a basic kitchen timer.,35,neg,2.35,1.0,0.00025516713447307985,0.0005557336648468101
34,984005611,sharp rmotda252wrzz microwave turntable motor,3.0,0.0,1.0,0.0,0.0,I'm an IDIOT,"I am giving three (3) stars because I have to.  In order to get this message on-to the page I must (RATE) the product?  Well,  this is a first and more-than-likely, my last attempt to rate a product before receiving it?I have the (OLDER) SHARP MODEL # R-410LW.  It is no longer (if ever) listed on SHARPS pages for repair OEM?  Well, I am guessing (and ordering) this:  &#34;RMOTDA252WRZZ&#34;... ...HOWEVER, MY (burned up) SHARP motor is: # &#34;RMOTDA264WRZZ&#34;  but I'm thinking that the RPM (3) three... is the same... 60Hz... is the same...120 V...is the same...2W...is the same...so, I'll (maybe) be losing money on this part but the same one is: $36.00?  Wish me?  Stupid...I know!",2015-08-19,"I'm an IDIOT I am giving three (3) stars because I have to.  In order to get this message on-to the page I must (RATE) the product?  Well,  this is a first and more-than-likely, my last attempt to rate a product before receiving it?I have the (OLDER) SHARP MODEL # R-410LW.  It is no longer (if ever) listed on SHARPS pages for repair OEM?  Well, I am guessing (and ordering) this:  &#34;RMOTDA252WRZZ&#34;... ...HOWEVER, MY (burned up) SHARP motor is: # &#34;RMOTDA264WRZZ&#34;  but I'm thinking that the RPM (3) three... is the same... 60Hz... is the same...120 V...is the same...2W...is the same...so, I'll (maybe) be losing money on this part but the same one is: $36.00?  Wish me?  Stupid...I know!",119,neu,2.841666666666667,0.0,0.0,0.0
45,943347999,pem31smss ge profile spacemaker countertop microwave oven stainless steel,4.0,0.0,0.0,0.0,0.0,This has been a good microwave for us,"This has been a good microwave for us. Sure the paint has peeled inside, but for us it was only after 2-3 years. I just scraped it off; it is not needed for cooking. The thing that we really like is that the styling on the front completely matches our Jenn-aire stove right below it. Cooking wise, it has been fine, and heavily used for many years. It is now reaching end of life, and I am struggling to find a replacement that fits the space and matches the stove.",2015-08-15,"This has been a good microwave for us This has been a good microwave for us. Sure the paint has peeled inside, but for us it was only after 2-3 years. I just scraped it off; it is not needed for cooking. The thing that we really like is that the styling on the front completely matches our Jenn-aire stove right below it. Cooking wise, it has been fine, and heavily used for many years. It is now reaching end of life, and I am struggling to find a replacement that fits the space and matches the stove.",98,neu,3.7095238095238097,0.0,0.0,0.0
47,166483932,ge csa1201rss cafe advantium 1.7 cu. ft. stainless steel over-the-range microwave - convection,4.0,0.0,0.0,0.0,0.0,So far so good!,3yrs and counting. So far so good!,2015-08-13,So far so good! 3yrs and counting. So far so good!,11,neu,3.975,0.0,0.0,0.0
52,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,1.0,0.0,0.0,Pretty good so far. . .,"After having read reviews for more expensive upmarket brand microwaves like LG and Panasonic, we went to our local (Canadian) Wal Mart to see what they had.<br /><br />The first thing I noticed about this one is that it is completely stainless steel: front AND back; outside and inside; all around. It looks like a professional food service microwave. To me, the stainless steel interior is easier to clean than a white painted one.<br /><br />We have heard that microwave ovens don't last like they used to (we have one low quality unbranded OTR one in a mobile home at the moment which was new in 1995 & still working as well as it ever did, and another LG 900 watt in an RV from 2004, also a good runner at this writing, July 2013).<br /><br />We didn't want to spend a lot of money if the microwave was only going to last a couple of years. Well, with this Danby, we have a two year replacement warranty. If it dies before its time, we either get a new one or a refund of the money we spent on this one. Fair enough, I thou... Read more",2015-08-11,"Pretty good so far. . . After having read reviews for more expensive upmarket brand microwaves like LG and Panasonic, we went to our local (Canadian) Wal Mart to see what they had.<br /><br />The first thing I noticed about this one is that it is completely stainless steel: front AND back; outside and inside; all around. It looks like a professional food service microwave. To me, the stainless steel interior is easier to clean than a white painted one.<br /><br />We have heard that microwave ovens don't last like they used to (we have one low quality unbranded OTR one in a mobile home at the moment which was new in 1995 & still working as well as it ever did, and another LG 900 watt in an RV from 2004, also a good runner at this writing, July 2013).<br /><br />We didn't want to spend a lot of money if the microwave was only going to last a couple of years. Well, with this Danby, we have a two year replacement warranty. If it dies before its time, we either get a new one or a refund of the money we spent on this one. Fair enough, I thou... Read more",203,neu,3.3184149184149185,0.0,0.0,0.0
54,838179571,hmv3051u 300 series 1.6 cu. ft. over-the range microwave oven with 1000 watts 10 microwave power levels automatic shut off and lcd display: stainless,3.0,6.0,6.0,0.0,0.0,Won't be buying Bosch again...,"I've had this microwave for 10 months, and already the handle broke (apparently like everyone else's).  Dealing with the Bosch customer service group has been horrible...required like 8 phone calls to get a replacement part ordered under warranty, and then they wanted $99 for a tech to install it.  I finally convinced them to just send me the part for free so I could install it myself.  After removing the plastic trim from the inside, discovered that the screw holding the top part of the handle is behind a metal piece that seemed impossible to remove.  I just drilled through the metal and was able to get it done.  Whew!",2015-08-10,"Won't be buying Bosch again... I've had this microwave for 10 months, and already the handle broke (apparently like everyone else's).  Dealing with the Bosch customer service group has been horrible...required like 8 phone calls to get a replacement part ordered under warranty, and then they wanted $99 for a tech to install it.  I finally convinced them to just send me the part for free so I could install it myself.  After removing the plastic trim from the inside, discovered that the screw holding the top part of the handle is behind a metal piece that seemed impossible to remove.  I just drilled through the metal and was able to get it done.  Whew!",115,neu,3.145238095238095,1.0,0.0015310028068384791,0.004720320259910786
71,542519500,"whirlpool wmh31017fs 1.7 cu. ft. over-the-range, combination microwave oven, stainless steel, 1000 watt",2.0,4.0,6.0,0.0,0.0,Whirlpool has turned into garbage,"After only two years of owning this microwave it started arcing when started. I looked into replacing the HV Diode and the HV Capacitor but those parts were damaged because the magnetron went bad. It was cheaper to replace the whole microwave than order parts and fix myself. Truly disappointed in Whirlpool and their products. The matching Whirlpool gold french door fridge we bought at the same time just had almost $1,000 worth of repairs. After only two years!!! These are cheaply made disposable pieces of garbage.",2015-08-04,"Whirlpool has turned into garbage After only two years of owning this microwave it started arcing when started. I looked into replacing the HV Diode and the HV Capacitor but those parts were damaged because the magnetron went bad. It was cheaper to replace the whole microwave than order parts and fix myself. Truly disappointed in Whirlpool and their products. The matching Whirlpool gold french door fridge we bought at the same time just had almost $1,000 worth of repairs. After only two years!!! These are cheaply made disposable pieces of garbage.",92,neu,2.8777777777777778,0.6666666666666666,0.000680445691928213,0.0017568904001059877
87,423421857,danby 0.7 cu.ft. countertop microwave,4.0,0.0,0.0,0.0,0.0,good product for the price,"looks nice and so far works great, very good deal for the price",2015-07-30,"good product for the price looks nice and so far works great, very good deal for the price",18,pos,4.244,0.0,0.0,0.0
