,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
106,984005611,1,3.0,1,1.0
87,809249591,1,3.0,1,1.0
10,166483932,7,3.0,1,0.14285714285714285
86,801135043,2,3.0,1,0.5
79,771401205,9,3.0,1,0.1111111111111111
71,721617315,3,3.0,1,0.3333333333333333
62,572011672,2,3.0,1,0.5
1,109226352,10,3.0,2,0.2
13,168181302,5,3.0,2,0.4
83,784164614,13,3.0,2,0.15384615384615385
107,991090482,2,3.0,2,1.0
76,760984384,8,3.0,3,0.375
73,731025324,5,3.0,3,0.6
67,690479711,10,3.0,3,0.3
109,994339247,8,3.0,3,0.375
41,464779766,3,3.0,3,1.0
28,379992322,8,3.0,3,0.375
54,542519500,13,3.0,4,0.3076923076923077
89,827502283,10,3.0,4,0.4
35,423421857,31,3.0,4,0.12903225806451613
25,305608994,8,3.0,4,0.5
104,981162112,12,3.0,4,0.3333333333333333
16,215953885,8,3.0,4,0.5
32,392967251,23,3.0,5,0.21739130434782608
50,522487135,15,3.0,5,0.3333333333333333
39,459626087,17,3.0,5,0.29411764705882354
5,147401377,8,3.0,5,0.625
93,838179571,11,3.0,5,0.45454545454545453
44,486381187,18,3.0,5,0.2777777777777778
7,155528792,8,3.0,5,0.625
97,921964554,21,3.0,6,0.2857142857142857
61,565072108,13,3.0,7,0.5384615384615384
22,295520151,29,3.0,8,0.27586206896551724
47,494668275,25,3.0,12,0.48
19,242727854,20,3.0,13,0.65
65,618770050,19,3.0,13,0.6842105263157895
100,943347999,22,3.0,15,0.6818181818181818
57,544821753,65,3.0,31,0.47692307692307695
