,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
85,801135043,2,2.0,1,0.5
69,692404913,2,2.0,1,0.5
66,690479711,10,2.0,1,0.1
59,550562680,1,2.0,1,1.0
24,305608994,8,2.0,1,0.125
0,109226352,10,2.0,2,0.2
88,827502283,10,2.0,2,0.2
78,771401205,9,2.0,2,0.2222222222222222
53,542519500,13,2.0,2,0.15384615384615385
6,155528792,8,2.0,2,0.25
12,168181302,5,2.0,2,0.4
38,459626087,17,2.0,3,0.17647058823529413
4,147401377,8,2.0,3,0.375
15,215953885,8,2.0,3,0.375
27,379992322,8,2.0,4,0.5
99,943347999,22,2.0,4,0.18181818181818182
9,166483932,7,2.0,4,0.5714285714285714
75,760984384,8,2.0,4,0.5
92,838179571,11,2.0,5,0.45454545454545453
108,994339247,8,2.0,5,0.625
18,242727854,20,2.0,6,0.3
103,981162112,12,2.0,6,0.5
60,565072108,13,2.0,6,0.46153846153846156
64,618770050,19,2.0,6,0.3157894736842105
34,423421857,31,2.0,7,0.22580645161290322
49,522487135,15,2.0,8,0.5333333333333333
82,784164614,13,2.0,8,0.6153846153846154
43,486381187,18,2.0,8,0.4444444444444444
21,295520151,29,2.0,9,0.3103448275862069
46,494668275,25,2.0,11,0.44
96,921964554,21,2.0,14,0.6666666666666666
31,392967251,23,2.0,15,0.6521739130434783
56,544821753,65,2.0,30,0.46153846153846156
