,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
52,523301568,1,4.0,1,1.0
8,155528792,8,4.0,1,0.125
98,930071734,1,4.0,1,1.0
14,168181302,5,4.0,1,0.2
17,215953885,8,4.0,1,0.125
20,242727854,20,4.0,1,0.05
94,838179571,11,4.0,1,0.09090909090909091
29,379992322,8,4.0,1,0.125
77,760984384,8,4.0,1,0.125
70,692404913,2,4.0,1,0.5
63,572011672,2,4.0,1,0.5
84,784164614,13,4.0,2,0.15384615384615385
74,731025324,5,4.0,2,0.4
72,721617315,3,4.0,2,0.6666666666666666
101,943347999,22,4.0,2,0.09090909090909091
105,981162112,12,4.0,2,0.16666666666666666
48,494668275,25,4.0,2,0.08
33,392967251,23,4.0,2,0.08695652173913043
11,166483932,7,4.0,2,0.2857142857142857
51,522487135,15,4.0,2,0.13333333333333333
26,305608994,8,4.0,3,0.375
90,827502283,10,4.0,3,0.3
58,544821753,65,4.0,4,0.06153846153846154
45,486381187,18,4.0,4,0.2222222222222222
2,109226352,10,4.0,5,0.5
68,690479711,10,4.0,6,0.6
80,771401205,9,4.0,6,0.6666666666666666
55,542519500,13,4.0,7,0.5384615384615384
40,459626087,17,4.0,9,0.5294117647058824
23,295520151,29,4.0,12,0.41379310344827586
36,423421857,31,4.0,18,0.5806451612903226
