,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
58,93476192,50,1.0,1,0.02
150,246038397,734,1.0,1,0.0013623978201634877
280,392768822,468,1.0,1,0.002136752136752137
328,432096885,20,1.0,1,0.05
408,506569016,62,1.0,1,0.016129032258064516
428,513985034,38,1.0,1,0.02631578947368421
441,520875423,16,1.0,1,0.0625
496,572944212,462,1.0,1,0.0021645021645021645
571,658527424,25,1.0,1,0.04
581,667171015,216,1.0,1,0.004629629629629629
586,671647927,21,1.0,1,0.047619047619047616
788,953521763,60,1.0,1,0.016666666666666666
