,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
294,411144065,1,3.0,1,1.0
109,179662085,15,3.0,1,0.06666666666666667
482,554179811,1,3.0,1,1.0
477,546075425,1,3.0,1,1.0
125,218370184,11,3.0,1,0.09090909090909091
474,545741651,19,3.0,1,0.05263157894736842
138,224554568,15,3.0,1,0.06666666666666667
453,524923091,8,3.0,1,0.125
767,934352600,1,3.0,1,1.0
760,929820454,10,3.0,1,0.1
155,248683677,11,3.0,1,0.09090909090909091
442,520875423,16,3.0,1,0.0625
779,942734125,1,3.0,1,1.0
421,513520259,17,3.0,1,0.058823529411764705
359,457041157,20,3.0,1,0.05
735,899854772,14,3.0,1,0.07142857142857142
684,847151491,1,3.0,1,1.0
338,449026476,15,3.0,1,0.06666666666666667
332,433722974,1,3.0,1,1.0
716,874164482,23,3.0,1,0.043478260869565216
322,428946394,3,3.0,1,0.3333333333333333
243,376433342,9,3.0,1,0.1111111111111111
287,396695183,45,3.0,1,0.022222222222222223
699,868072504,1,3.0,1,1.0
265,386489526,13,3.0,1,0.07692307692307693
386,478654663,52,3.0,1,0.019230769230769232
488,565545704,20,3.0,1,0.05
460,531644466,17,3.0,1,0.058823529411764705
95,137289931,18,3.0,1,0.05555555555555555
547,623078343,12,3.0,1,0.08333333333333333
534,600115599,1,3.0,1,1.0
784,943205696,18,3.0,1,0.05555555555555555
46,78936330,22,3.0,1,0.045454545454545456
27,51313971,1,3.0,1,1.0
557,634651320,24,3.0,1,0.041666666666666664
21,44176469,15,3.0,1,0.06666666666666667
816,980214134,11,3.0,1,0.09090909090909091
515,586745626,41,3.0,1,0.024390243902439025
63,97751119,1,3.0,1,1.0
827,983961154,9,3.0,1,0.1111111111111111
808,969174729,15,3.0,1,0.06666666666666667
503,577669154,19,3.0,1,0.05263157894736842
623,729398287,9,3.0,1,0.1111111111111111
83,122950606,13,3.0,1,0.07692307692307693
597,676667081,1,3.0,1,1.0
834,984750507,7,3.0,1,0.14285714285714285
92,130912179,7,3.0,1,0.14285714285714285
334,439223023,15,3.0,2,0.13333333333333333
297,416377561,42,3.0,2,0.047619047619047616
566,643192369,2,3.0,2,1.0
319,428576973,5,3.0,2,0.4
686,849256353,20,3.0,2,0.1
329,432096885,20,3.0,2,0.1
552,623667867,16,3.0,2,0.125
301,417797815,17,3.0,2,0.11764705882352941
315,426289853,29,3.0,2,0.06896551724137931
371,464288222,42,3.0,2,0.047619047619047616
357,456437823,16,3.0,2,0.125
669,819123532,12,3.0,2,0.16666666666666666
655,807533519,10,3.0,2,0.2
397,493752378,14,3.0,2,0.14285714285714285
652,791790210,11,3.0,2,0.18181818181818182
649,781955422,22,3.0,2,0.09090909090909091
530,597098491,22,3.0,2,0.09090909090909091
628,735883323,14,3.0,2,0.14285714285714285
518,588916430,10,3.0,2,0.2
506,578779420,20,3.0,2,0.1
277,389385184,20,3.0,2,0.1
467,540244704,47,3.0,2,0.0425531914893617
479,552512389,15,3.0,2,0.13333333333333333
492,567287601,11,3.0,2,0.18181818181818182
549,623429985,12,3.0,2,0.16666666666666666
274,389043588,9,3.0,2,0.2222222222222222
590,674038347,14,3.0,2,0.14285714285714285
268,387353699,44,3.0,2,0.045454545454545456
754,925732558,41,3.0,2,0.04878048780487805
271,387375109,11,3.0,2,0.18181818181818182
158,249327656,13,3.0,2,0.15384615384615385
141,226242876,9,3.0,2,0.2222222222222222
191,311061809,20,3.0,2,0.1
135,221535473,24,3.0,2,0.08333333333333333
198,334562668,10,3.0,2,0.2
773,935524314,15,3.0,2,0.13333333333333333
165,254473881,28,3.0,2,0.07142857142857142
720,878974810,11,3.0,2,0.18181818181818182
757,928822368,16,3.0,2,0.125
49,84104860,15,3.0,2,0.13333333333333333
16,33280098,18,3.0,2,0.1111111111111111
710,869545112,14,3.0,2,0.14285714285714285
241,374871959,11,3.0,2,0.18181818181818182
620,723767646,26,3.0,3,0.11538461538461539
576,661450952,27,3.0,3,0.1111111111111111
633,747068001,35,3.0,3,0.08571428571428572
12,28435092,50,3.0,3,0.06
568,658108028,27,3.0,3,0.1111111111111111
450,524435438,12,3.0,3,0.25
25,51308962,12,3.0,3,0.25
769,934761232,20,3.0,3,0.15
29,52118951,10,3.0,3,0.3
117,208605316,12,3.0,3,0.25
626,735580975,6,3.0,3,0.5
780,943054366,12,3.0,3,0.25
79,119280615,17,3.0,3,0.17647058823529413
820,981045906,37,3.0,3,0.08108108108108109
74,115431579,25,3.0,3,0.12
64,98582083,12,3.0,3,0.25
813,978656456,11,3.0,3,0.2727272727272727
607,708518599,13,3.0,3,0.23076923076923078
501,574097816,12,3.0,3,0.25
161,250549980,11,3.0,3,0.2727272727272727
214,353197975,20,3.0,3,0.15
261,381325750,9,3.0,3,0.3333333333333333
707,869431526,30,3.0,3,0.1
594,674959265,11,3.0,3,0.2727272727272727
305,420669412,11,3.0,3,0.2727272727272727
246,377768960,11,3.0,3,0.2727272727272727
228,365326170,17,3.0,3,0.17647058823529413
640,765403850,24,3.0,3,0.125
342,449819764,48,3.0,3,0.0625
730,897746518,12,3.0,3,0.25
681,838023597,13,3.0,3,0.23076923076923078
673,831792142,13,3.0,3,0.23076923076923078
206,342126482,14,3.0,3,0.21428571428571427
4,21803708,23,3.0,3,0.13043478260869565
375,467787167,20,3.0,3,0.15
738,905342430,35,3.0,3,0.08571428571428572
470,540487761,27,3.0,4,0.14814814814814814
248,379394235,30,3.0,4,0.13333333333333333
555,626585865,10,3.0,4,0.4
845,996130662,32,3.0,4,0.125
35,63717066,15,3.0,4,0.26666666666666666
824,981812270,11,3.0,4,0.36363636363636365
614,717616351,28,3.0,4,0.14285714285714285
236,371227007,16,3.0,4,0.25
55,93126241,45,3.0,4,0.08888888888888889
