,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
3,13588167,1,2.0,1,1.0
511,585880039,9,2.0,1,0.1111111111111111
508,581208012,14,2.0,1,0.07142857142857142
491,567287601,11,2.0,1,0.09090909090909091
483,556747467,21,2.0,1,0.047619047619047616
473,545741651,19,2.0,1,0.05263157894736842
466,540244704,47,2.0,1,0.02127659574468085
437,519841015,28,2.0,1,0.03571428571428571
413,508170926,90,2.0,1,0.011111111111111112
844,996130662,32,2.0,1,0.03125
393,488259221,10,2.0,1,0.1
389,481329985,63,2.0,1,0.015873015873015872
378,467792741,22,2.0,1,0.045454545454545456
374,467787167,20,2.0,1,0.05
341,449819764,48,2.0,1,0.020833333333333332
337,449026476,15,2.0,1,0.06666666666666667
333,439223023,15,2.0,1,0.06666666666666667
321,428946394,3,2.0,1,0.3333333333333333
314,426289853,29,2.0,1,0.034482758620689655
304,420669412,11,2.0,1,0.09090909090909091
514,586745626,41,2.0,1,0.024390243902439025
300,417797815,17,2.0,1,0.058823529411764705
535,604039789,43,2.0,1,0.023255813953488372
563,642025394,13,2.0,1,0.07692307692307693
837,986016545,48,2.0,1,0.020833333333333332
830,984679751,74,2.0,1,0.013513513513513514
812,978656456,11,2.0,1,0.09090909090909091
807,969174729,15,2.0,1,0.06666666666666667
797,956279524,24,2.0,1,0.041666666666666664
783,943205696,18,2.0,1,0.05555555555555555
772,935524314,15,2.0,1,0.06666666666666667
753,925732558,41,2.0,1,0.024390243902439025
723,892018890,81,2.0,1,0.012345679012345678
719,878974810,11,2.0,1,0.09090909090909091
713,873727498,13,2.0,1,0.07692307692307693
706,869431526,30,2.0,1,0.03333333333333333
685,849256353,20,2.0,1,0.05
680,838023597,13,2.0,1,0.07692307692307693
676,833430714,24,2.0,1,0.041666666666666664
672,831792142,13,2.0,1,0.07692307692307693
658,808441948,33,2.0,1,0.030303030303030304
617,719101633,15,2.0,1,0.06666666666666667
567,658108028,27,2.0,1,0.037037037037037035
546,623078343,12,2.0,1,0.08333333333333333
296,416377561,42,2.0,1,0.023809523809523808
405,504109012,16,2.0,1,0.0625
286,394467239,1,2.0,1,1.0
172,283741426,2,2.0,1,0.5
145,240496854,22,2.0,1,0.045454545454545456
124,218370184,11,2.0,1,0.09090909090909091
116,205719235,1,2.0,1,1.0
108,168854401,1,2.0,1,1.0
91,130912179,7,2.0,1,0.14285714285714285
223,364399161,37,2.0,1,0.02702702702702703
78,119280615,17,2.0,1,0.058823529411764705
227,365326170,17,2.0,1,0.058823529411764705
54,93126241,45,2.0,1,0.022222222222222223
