,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
694,858196820,22,5.0,1,0.045454545454545456
279,389385184,20,5.0,1,0.05
276,389043588,9,5.0,1,0.1111111111111111
273,387375109,11,5.0,1,0.09090909090909091
771,934761232,20,5.0,1,0.05
578,661450952,27,5.0,1,0.037037037037037035
778,938291364,12,5.0,1,0.08333333333333333
252,379901061,16,5.0,1,0.0625
766,932874238,30,5.0,1,0.03333333333333333
589,671647927,21,5.0,1,0.047619047619047616
782,943054366,12,5.0,1,0.08333333333333333
596,674959265,11,5.0,1,0.09090909090909091
600,678689917,22,5.0,1,0.045454545454545456
800,956279524,24,5.0,1,0.041666666666666664
602,704366834,9,5.0,1,0.1111111111111111
189,308287733,15,5.0,1,0.06666666666666667
605,707645997,14,5.0,1,0.07142857142857142
230,365326170,17,5.0,1,0.058823529411764705
174,289789331,1,5.0,1,1.0
554,623667867,16,5.0,1,0.0625
545,615270293,18,5.0,1,0.05555555555555555
469,540244704,47,5.0,1,0.02127659574468085
436,516813595,1,5.0,1,1.0
490,565545704,20,5.0,1,0.05
732,897746518,12,5.0,1,0.08333333333333333
412,506569016,62,5.0,1,0.016129032258064516
399,493752378,14,5.0,1,0.07142857142857142
396,488765622,1,5.0,1,1.0
327,429084754,53,5.0,1,0.018867924528301886
712,869545112,14,5.0,1,0.07142857142857142
526,595227405,16,5.0,1,0.0625
533,597456698,1,5.0,1,1.0
742,908960548,1,5.0,1,1.0
691,854993067,20,5.0,1,0.05
356,454116188,45,5.0,1,0.022222222222222223
744,911725740,2,5.0,1,0.5
759,928822368,16,5.0,1,0.0625
741,908899687,1,5.0,1,1.0
622,723767646,26,5.0,1,0.038461538461538464
592,674038347,14,5.0,1,0.07142857142857142
85,122950606,13,5.0,1,0.07692307692307693
836,985792211,1,5.0,1,1.0
81,119280615,17,5.0,1,0.058823529411764705
163,250549980,11,5.0,1,0.09090909090909091
829,983961154,9,5.0,1,0.1111111111111111
62,93476192,50,5.0,1,0.02
671,819123532,12,5.0,1,0.08333333333333333
97,137289931,18,5.0,1,0.05555555555555555
105,148951957,20,5.0,1,0.05
679,833430714,24,5.0,1,0.041666666666666664
37,63717066,15,5.0,1,0.06666666666666667
840,986016545,48,5.0,1,0.020833333333333332
119,208605316,12,5.0,1,0.08333333333333333
72,110124739,13,5.0,1,0.07692307692307693
639,756673722,14,5.0,1,0.07142857142857142
654,791790210,11,5.0,1,0.09090909090909091
668,816941808,27,5.0,1,0.037037037037037035
160,249327656,13,5.0,1,0.07692307692307693
6,21803708,23,5.0,1,0.043478260869565216
815,978656456,11,5.0,1,0.09090909090909091
843,995615099,12,5.0,1,0.08333333333333333
140,224554568,15,5.0,1,0.06666666666666667
630,735883323,14,5.0,1,0.07142857142857142
144,235815974,2,5.0,1,0.5
10,24160750,26,5.0,2,0.07692307692307693
66,98582083,12,5.0,2,0.16666666666666666
472,540487761,27,5.0,2,0.07407407407407407
538,604039789,43,5.0,2,0.046511627906976744
510,581208012,14,5.0,2,0.14285714285714285
48,78936330,22,5.0,2,0.09090909090909091
481,552512389,15,5.0,2,0.13333333333333333
395,488259221,10,5.0,2,0.2
18,33280098,18,5.0,2,0.1111111111111111
688,849256353,20,5.0,2,0.1
494,567287601,11,5.0,2,0.18181818181818182
402,495764832,32,5.0,2,0.0625
532,597098491,22,5.0,2,0.09090909090909091
476,545741651,19,5.0,2,0.10526315789473684
171,277493012,52,5.0,2,0.038461538461538464
340,449026476,15,5.0,2,0.13333333333333333
157,248683677,11,5.0,2,0.18181818181818182
148,240496854,22,5.0,2,0.09090909090909091
200,334562668,10,5.0,2,0.2
204,339747365,45,5.0,2,0.044444444444444446
137,221535473,24,5.0,2,0.08333333333333333
216,353197975,20,5.0,2,0.1
818,980214134,11,5.0,2,0.18181818181818182
238,371227007,16,5.0,2,0.125
752,920298244,27,5.0,2,0.07407407407407407
263,381325750,9,5.0,2,0.2222222222222222
657,807533519,10,5.0,2,0.2
698,867638761,22,5.0,2,0.09090909090909091
826,981812270,11,5.0,2,0.18181818181818182
762,929820454,10,5.0,2,0.2
303,417797815,17,5.0,2,0.11764705882352941
307,420669412,11,5.0,2,0.18181818181818182
559,634651320,24,5.0,2,0.08333333333333333
336,439223023,15,5.0,2,0.13333333333333333
111,179662085,15,5.0,2,0.13333333333333333
455,524923091,8,5.0,2,0.25
517,586745626,41,5.0,3,0.07317073170731707
580,664402451,15,5.0,3,0.2
675,831792142,13,5.0,3,0.23076923076923078
462,531644466,17,5.0,3,0.17647058823529413
575,658527424,25,5.0,3,0.12
486,556747467,21,5.0,3,0.14285714285714285
616,717616351,28,5.0,3,0.10714285714285714
1,4792175,13,5.0,3,0.23076923076923078
722,878974810,11,5.0,3,0.2727272727272727
23,44176469,15,5.0,3,0.2
40,63883088,20,5.0,3,0.15
76,115431579,25,5.0,3,0.12
114,181638405,30,5.0,3,0.1
123,211963857,54,5.0,3,0.05555555555555555
127,218370184,11,5.0,3,0.2727272727272727
810,969174729,15,5.0,3,0.2
193,311061809,20,5.0,3,0.15
208,342126482,14,5.0,3,0.21428571428571427
370,463344062,17,5.0,3,0.17647058823529413
737,899854772,14,5.0,3,0.21428571428571427
361,457041157,20,5.0,3,0.15
444,520875423,16,5.0,3,0.1875
440,519841015,28,5.0,3,0.10714285714285714
847,996130662,32,5.0,3,0.09375
407,504109012,16,5.0,3,0.1875
423,513520259,17,5.0,3,0.17647058823529413
786,943205696,18,5.0,4,0.2222222222222222
459,528212913,25,5.0,4,0.16
702,868139394,44,5.0,4,0.09090909090909091
822,981045906,37,5.0,4,0.10810810810810811
427,513564343,32,5.0,4,0.125
806,960884826,24,5.0,4,0.16666666666666666
505,577669154,19,5.0,4,0.21052631578947367
226,364399161,37,5.0,4,0.10810810810810811
250,379394235,30,5.0,4,0.13333333333333333
570,658108028,27,5.0,4,0.14814814814814814
331,432096885,20,5.0,4,0.2
452,524435438,12,5.0,4,0.3333333333333333
373,464288222,42,5.0,4,0.09523809523809523
551,623429985,12,5.0,4,0.3333333333333333
311,423664880,27,5.0,4,0.14814814814814814
381,467792741,22,5.0,4,0.18181818181818182
718,874164482,23,5.0,4,0.17391304347826086
565,642025394,13,5.0,4,0.3076923076923077
57,93126241,45,5.0,5,0.1111111111111111
167,254473881,28,5.0,5,0.17857142857142858
775,935524314,15,5.0,5,0.3333333333333333
465,531834407,24,5.0,5,0.20833333333333334
642,765403850,24,5.0,5,0.20833333333333334
647,772280665,42,5.0,5,0.11904761904761904
651,781955422,22,5.0,5,0.22727272727272727
234,366394525,24,5.0,5,0.20833333333333334
734,898867358,12,5.0,5,0.4166666666666667
740,905342430,35,5.0,6,0.17142857142857143
44,64500002,39,5.0,6,0.15384615384615385
107,158540300,38,5.0,6,0.15789473684210525
299,416377561,42,5.0,6,0.14285714285714285
431,513985034,38,5.0,6,0.15789473684210525
709,869431526,30,5.0,6,0.2
726,892018890,81,5.0,6,0.07407407407407407
317,426289853,29,5.0,6,0.20689655172413793
529,597077781,20,5.0,6,0.3
377,467787167,20,5.0,6,0.3
705,869138578,127,5.0,7,0.05511811023622047
851,997127233,79,5.0,7,0.08860759493670886
542,610554685,53,5.0,7,0.1320754716981132
448,523549949,50,5.0,7,0.14
404,502209492,62,5.0,7,0.11290322580645161
134,218693378,80,5.0,7,0.0875
178,293975317,33,5.0,7,0.21212121212121213
352,451617076,57,5.0,7,0.12280701754385964
