,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
787,945667600,1,4.0,1,1.0
82,120305248,1,4.0,1,1.0
94,136176126,1,4.0,1,1.0
643,766107040,1,4.0,1,1.0
637,752529185,1,4.0,1,1.0
636,747709278,1,4.0,1,1.0
612,717329060,1,4.0,1,1.0
115,185909393,1,4.0,1,1.0
120,210279458,1,4.0,1,1.0
606,707700929,1,4.0,1,1.0
143,235815974,2,4.0,1,0.5
665,816382986,1,4.0,1,1.0
149,243402836,1,4.0,1,1.0
173,283741426,2,4.0,1,0.5
190,309903125,1,4.0,1,1.0
811,978576702,1,4.0,1,1.0
495,568864492,1,4.0,1,1.0
239,374756007,1,4.0,1,1.0
285,392903253,1,4.0,1,1.0
362,460346238,1,4.0,1,1.0
293,409634714,1,4.0,1,1.0
295,413163609,1,4.0,1,1.0
323,428946394,3,4.0,1,0.3333333333333333
164,254455198,1,4.0,1,1.0
77,116589387,1,4.0,1,1.0
320,428576973,5,4.0,1,0.2
34,62844536,1,4.0,1,1.0
2,12142513,1,4.0,1,1.0
743,911725740,2,4.0,1,0.5
45,77655763,1,4.0,1,1.0
749,919645849,1,4.0,1,1.0
683,843386126,1,4.0,1,1.0
19,39306406,1,4.0,1,1.0
825,981812270,11,4.0,2,0.18181818181818182
627,735580975,6,4.0,3,0.5
451,524435438,12,4.0,3,0.25
513,585880039,9,4.0,4,0.4444444444444444
611,710299720,12,4.0,4,0.3333333333333333
595,674959265,11,4.0,4,0.36363636363636365
262,381325750,9,4.0,4,0.4444444444444444
619,719101633,15,4.0,4,0.26666666666666666
721,878974810,11,4.0,5,0.45454545454545453
93,130912179,7,4.0,5,0.7142857142857143
306,420669412,11,4.0,5,0.45454545454545453
454,524923091,8,4.0,5,0.625
814,978656456,11,4.0,6,0.5454545454545454
493,567287601,11,4.0,6,0.5454545454545454
275,389043588,9,4.0,6,0.6666666666666666
207,342126482,14,4.0,6,0.42857142857142855
199,334562668,10,4.0,6,0.6
30,52118951,10,4.0,6,0.6
835,984750507,7,4.0,6,0.8571428571428571
550,623429985,12,4.0,6,0.5
556,626585865,10,4.0,6,0.6
777,938291364,12,4.0,6,0.5
674,831792142,13,4.0,6,0.46153846153846156
656,807533519,10,4.0,6,0.6
39,63883088,20,4.0,6,0.3
604,707645997,14,4.0,6,0.42857142857142855
126,218370184,11,4.0,6,0.5454545454545454
162,250549980,11,4.0,7,0.6363636363636364
774,935524314,15,4.0,7,0.4666666666666667
394,488259221,10,4.0,7,0.7
65,98582083,12,4.0,7,0.5833333333333334
828,983961154,9,4.0,7,0.7777777777777778
247,377768960,11,4.0,7,0.6363636363636364
733,898867358,12,4.0,7,0.5833333333333334
761,929820454,10,4.0,7,0.7
188,308287733,15,4.0,7,0.4666666666666667
142,226242876,9,4.0,7,0.7777777777777778
574,658527424,25,4.0,7,0.28
781,943054366,12,4.0,8,0.6666666666666666
156,248683677,11,4.0,8,0.7272727272727273
817,980214134,11,4.0,8,0.7272727272727273
369,463344062,17,4.0,8,0.47058823529411764
86,128958612,8,4.0,8,1.0
272,387375109,11,4.0,8,0.7272727272727273
564,642025394,13,4.0,8,0.6153846153846154
653,791790210,11,4.0,8,0.7272727272727273
624,729398287,9,4.0,8,0.8888888888888888
601,704366834,9,4.0,8,0.8888888888888888
244,376433342,9,4.0,8,0.8888888888888888
519,588916430,10,4.0,8,0.8
731,897746518,12,4.0,8,0.6666666666666666
26,51308962,12,4.0,8,0.6666666666666666
242,374871959,11,4.0,8,0.7272727272727273
118,208605316,12,4.0,8,0.6666666666666666
842,995615099,12,4.0,9,0.75
215,353197975,20,4.0,9,0.45
502,574097816,12,4.0,9,0.75
765,932874238,30,4.0,9,0.3
237,371227007,16,4.0,9,0.5625
422,513520259,17,4.0,9,0.5294117647058824
670,819123532,12,4.0,9,0.75
588,671647927,21,4.0,9,0.42857142857142855
682,838023597,13,4.0,9,0.6923076923076923
480,552512389,15,4.0,9,0.6
548,623078343,12,4.0,10,0.8333333333333334
736,899854772,14,4.0,10,0.7142857142857143
544,615270293,18,4.0,10,0.5555555555555556
608,708518599,13,4.0,10,0.7692307692307693
335,439223023,15,4.0,10,0.6666666666666666
809,969174729,15,4.0,10,0.6666666666666666
376,467787167,20,4.0,10,0.5
0,4792175,13,4.0,10,0.7692307692307693
22,44176469,15,4.0,10,0.6666666666666666
159,249327656,13,4.0,10,0.7692307692307693
313,424813274,15,4.0,10,0.6666666666666666
36,63717066,15,4.0,10,0.6666666666666666
147,240496854,22,4.0,11,0.5
509,581208012,14,4.0,11,0.7857142857142857
84,122950606,13,4.0,11,0.8461538461538461
650,781955422,22,4.0,11,0.5
485,556747467,21,4.0,11,0.5238095238095238
231,365343975,11,4.0,11,1.0
591,674038347,14,4.0,11,0.7857142857142857
697,867638761,22,4.0,11,0.5
443,520875423,16,4.0,11,0.6875
711,869545112,14,4.0,11,0.7857142857142857
53,91213610,18,4.0,11,0.6111111111111112
398,493752378,14,4.0,11,0.7857142857142857
525,595227405,16,4.0,11,0.6875
629,735883323,14,4.0,11,0.7857142857142857
339,449026476,15,4.0,11,0.7333333333333333
632,742831771,16,4.0,11,0.6875
110,179662085,15,4.0,12,0.8
426,513564343,32,4.0,12,0.375
266,386489526,13,4.0,12,0.9230769230769231
80,119280615,17,4.0,12,0.7058823529411765
406,504109012,16,4.0,12,0.75
714,873727498,13,4.0,12,0.9230769230769231
71,110124739,13,4.0,12,0.9230769230769231
579,664402451,15,4.0,12,0.8
625,729808335,12,4.0,12,1.0
302,417797815,17,4.0,12,0.7058823529411765
785,943205696,18,4.0,12,0.6666666666666666
528,597077781,20,4.0,12,0.6
229,365326170,17,4.0,12,0.7058823529411765
233,366394525,24,4.0,13,0.5416666666666666
310,423664880,27,4.0,13,0.48148148148148145
553,623667867,16,4.0,13,0.8125
461,531644466,17,4.0,13,0.7647058823529411
330,432096885,20,4.0,13,0.65
99,137759317,19,4.0,13,0.6842105263157895
17,33280098,18,4.0,13,0.7222222222222222
380,467792741,22,4.0,13,0.5909090909090909
50,84104860,15,4.0,13,0.8666666666666667
729,892851560,30,4.0,13,0.43333333333333335
139,224554568,15,4.0,13,0.8666666666666667
758,928822368,16,4.0,13,0.8125
638,756673722,14,4.0,13,0.9285714285714286
770,934761232,20,4.0,13,0.65
104,148951957,20,4.0,13,0.65
504,577669154,19,4.0,14,0.7368421052631579
799,956279524,24,4.0,14,0.5833333333333334
358,456437823,16,4.0,14,0.875
562,637073326,23,4.0,14,0.6086956521739131
690,854993067,20,4.0,14,0.7
464,531834407,24,4.0,14,0.5833333333333334
177,293975317,33,4.0,14,0.42424242424242425
678,833430714,24,4.0,14,0.5833333333333334
693,858196820,22,4.0,14,0.6363636363636364
192,311061809,20,4.0,15,0.75
687,849256353,20,4.0,15,0.75
805,960884826,24,4.0,15,0.625
9,24160750,26,4.0,15,0.5769230769230769
251,379901061,16,4.0,15,0.9375
475,545741651,19,4.0,15,0.7894736842105263
458,528212913,25,4.0,15,0.6
489,565545704,20,4.0,16,0.8
96,137289931,18,4.0,16,0.8888888888888888
599,678689917,22,4.0,16,0.7272727272727273
717,874164482,23,4.0,16,0.6956521739130435
365,460495350,36,4.0,16,0.4444444444444444
360,457041157,20,4.0,16,0.8
641,765403850,24,4.0,16,0.6666666666666666
278,389385184,20,4.0,17,0.85
101,147016145,32,4.0,17,0.53125
75,115431579,25,4.0,17,0.68
646,772280665,42,4.0,18,0.42857142857142855
507,578779420,20,4.0,18,0.9
439,519841015,28,4.0,18,0.6428571428571429
531,597098491,22,4.0,18,0.8181818181818182
401,495764832,32,4.0,18,0.5625
218,356312576,22,4.0,18,0.8181818181818182
569,658108028,27,4.0,19,0.7037037037037037
47,78936330,22,4.0,19,0.8636363636363636
751,920298244,27,4.0,19,0.7037037037037037
5,21803708,23,4.0,19,0.8260869565217391
615,717616351,28,4.0,19,0.6785714285714286
708,869431526,30,4.0,20,0.6666666666666666
660,808441948,33,4.0,20,0.6060606060606061
316,426289853,29,4.0,20,0.6896551724137931
136,221535473,24,4.0,20,0.8333333333333334
181,294255492,33,4.0,20,0.6060606060606061
471,540487761,27,4.0,21,0.7777777777777778
43,64500002,39,4.0,21,0.5384615384615384
166,254473881,28,4.0,21,0.75
558,634651320,24,4.0,21,0.875
249,379394235,30,4.0,22,0.7333333333333333
621,723767646,26,4.0,22,0.8461538461538461
113,181638405,30,4.0,22,0.7333333333333333
667,816941808,27,4.0,22,0.8148148148148148
634,747068001,35,4.0,22,0.6285714285714286
577,661450952,27,4.0,23,0.8518518518518519
839,986016545,48,4.0,23,0.4791666666666667
846,996130662,32,4.0,24,0.75
430,513985034,38,4.0,25,0.6578947368421053
739,905342430,35,4.0,26,0.7428571428571429
355,454116188,45,4.0,26,0.5777777777777777
89,129348876,54,4.0,27,0.5
821,981045906,37,4.0,27,0.7297297297297297
326,429084754,53,4.0,27,0.5094339622641509
225,364399161,37,4.0,28,0.7567567567567568
61,93476192,50,4.0,28,0.56
418,509145368,41,4.0,28,0.6829268292682927
755,925732558,41,4.0,28,0.6829268292682927
203,339747365,45,4.0,29,0.6444444444444445
351,451617076,57,4.0,31,0.543859649122807
537,604039789,43,4.0,32,0.7441860465116279
541,610554685,53,4.0,32,0.6037735849056604
269,387353699,44,4.0,32,0.7272727272727273
791,953521763,60,4.0,32,0.5333333333333333
106,158540300,38,4.0,32,0.8421052631578947
803,957640647,47,4.0,32,0.6808510638297872
343,449819764,48,4.0,33,0.6875
298,416377561,42,4.0,33,0.7857142857142857
701,868139394,44,4.0,33,0.75
292,407277980,48,4.0,35,0.7291666666666666
411,506569016,62,4.0,35,0.5645161290322581
56,93126241,45,4.0,35,0.7777777777777778
170,277493012,52,4.0,35,0.6730769230769231
288,396695183,45,4.0,35,0.7777777777777778
13,28435092,50,4.0,36,0.72
516,586745626,41,4.0,36,0.8780487804878049
372,464288222,42,4.0,36,0.8571428571428571
196,311600177,86,4.0,36,0.4186046511627907
447,523549949,50,4.0,37,0.74
522,589029650,84,4.0,39,0.4642857142857143
122,211963857,54,4.0,40,0.7407407407407407
387,478654663,52,4.0,41,0.7884615384615384
391,481329985,63,4.0,42,0.6666666666666666
468,540244704,47,4.0,43,0.9148936170212766
221,364133280,87,4.0,45,0.5172413793103449
832,984679751,74,4.0,54,0.7297297297297297
130,218530709,109,4.0,54,0.4954128440366973
403,502209492,62,4.0,55,0.8870967741935484
384,473538559,119,4.0,58,0.48739495798319327
32,52203997,79,4.0,61,0.7721518987341772
133,218693378,80,4.0,63,0.7875
850,997127233,79,4.0,64,0.810126582278481
725,892018890,81,4.0,64,0.7901234567901234
795,955350284,113,4.0,67,0.5929203539823009
415,508170926,90,4.0,70,0.7777777777777778
211,343148814,121,4.0,71,0.5867768595041323
434,515907812,130,4.0,76,0.5846153846153846
184,295960359,139,4.0,83,0.5971223021582733
704,869138578,127,4.0,108,0.8503937007874016
255,380619977,150,4.0,115,0.7666666666666667
69,106521272,176,4.0,124,0.7045454545454546
259,381226741,223,4.0,132,0.5919282511210763
747,911821018,209,4.0,155,0.7416267942583732
584,667171015,216,4.0,160,0.7407407407407407
663,812583172,250,4.0,195,0.78
347,450475749,439,4.0,347,0.7904328018223234
499,572944212,462,4.0,348,0.7532467532467533
283,392768822,468,4.0,357,0.7628205128205128
153,246038397,734,4.0,516,0.7029972752043597
