,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
103,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",4.0,1.0,1.0,0.0,0.0,I think these are the best,"I have use these with 2 of my 4 children and am pregnant now...due today actually...and plan to use these again!<br />Coming from a breastfeeding mom, I personally am not too concerned with if it is &#34;orthodontic&#34; or not. I know that sounds bad but this is why.... Nipple confusion! These closely resemble mom's and also resemble how most breast milk bottles are shaped. I don't let my babies hold on to a pacifier too long anyway so the &#34;orthodontic&#34; aspect doesn't really apply. Even if you're formula feeding, most of the bottles like Avent, Gerber or even Medela and other popular brands of bottles are still shaped the same.<br />In the other reviews I read, I saw a lot of moms have a problem finding pacifier clips or holders that fit.<br />Here's a solution..!<br />I haven't found any that hold these except the ones specially designed for Soothies. They have some by Booginhead that have a loop you saddle tie through the holes on the base. I, personally, dont care for these the way they suggest to use them. The loop rubs against baby's face and sits right where their mouth is wet. Just makes for a chapped face waiting to happen. SO, my solution, I used my husbands drill and drilled a hole in the tab and looped a Booginhead through that. Im sure you could use anything to put the hold there. If you do this, make sure its a SMALL hole and its low enough down to the base you dont have to worry about it breaking.<br />There are also some by Bella Tunno or Ulububu that clips on the tab. These don't hold too well but I guess its personal preference if you want a clip that slips or a loop that can chap :D<br />Personally, I think Soothie should put a hole in the tab themselves. :) Problem solved!<br />So, long and short of it, I think these are the best!!",2015-08-27,"I think these are the best I have use these with 2 of my 4 children and am pregnant now...due today actually...and plan to use these again!<br />Coming from a breastfeeding mom, I personally am not too concerned with if it is &#34;orthodontic&#34; or not. I know that sounds bad but this is why.... Nipple confusion! These closely resemble mom's and also resemble how most breast milk bottles are shaped. I don't let my babies hold on to a pacifier too long anyway so the &#34;orthodontic&#34; aspect doesn't really apply. Even if you're formula feeding, most of the bottles like Avent, Gerber or even Medela and other popular brands of bottles are still shaped the same.<br />In the other reviews I read, I saw a lot of moms have a problem finding pacifier clips or holders that fit.<br />Here's a solution..!<br />I haven't found any that hold these except the ones specially designed for Soothies. They have some by Booginhead that have a loop you saddle tie through the holes on the base. I, personally, dont care for these the way they suggest to use them. The loop rubs against baby's face and sits right where their mouth is wet. Just makes for a chapped face waiting to happen. SO, my solution, I used my husbands drill and drilled a hole in the tab and looped a Booginhead through that. Im sure you could use anything to put the hold there. If you do this, make sure its a SMALL hole and its low enough down to the base you dont have to worry about it breaking.<br />There are also some by Bella Tunno or Ulububu that clips on the tab. These don't hold too well but I guess its personal preference if you want a clip that slips or a loop that can chap :D<br />Personally, I think Soothie should put a hole in the tab themselves. :) Problem solved!<br />So, long and short of it, I think these are the best!!",333,neu,3.2104024943310656,1.0,0.00047938638542665386,0.0017750335663002377
178,572944212,wubbanub soft toy and pacifier,4.0,0.0,0.0,0.0,0.0,Cute,"These are perfect, no issues that I can see.",2015-08-23,"Cute These are perfect, no issues that I can see.",10,pos,4.5,0.0,0.0,0.0
194,704366834,"mustache pacifier for baby boys 6-12 months (2pcs), dlux products baby funny gentleman appease & control your child- made of bpa-free, odorless & 100% food-grade silicone according to en 1400 & us cpsc standards - makes ideal gift!",4.0,0.0,0.0,0.0,0.0,Five Stars,Cool,2015-08-21,Five Stars Cool,3,neu,3.7,0.0,0.0,0.0
245,509145368,"jj cole pacifier pod, cream & black",4.0,0.0,0.0,0.0,0.0,I really like this because I can fit two paci's and I ...,I really like this because I can fit two paci's and I attached it to my diaper bag for easy access.,2015-08-20,I really like this because I can fit two paci's and I ... I really like this because I can fit two paci's and I attached it to my diaper bag for easy access.,34,neu,3.6533333333333333,0.0,0.0,0.0
261,708518599,mustache pacifier,5.0,0.0,0.0,0.0,0.0,Very cute - cleanly packaged,Very cute! Got this as a gift and the momma loved it!,2015-08-19,Very cute - cleanly packaged Very cute! Got this as a gift and the momma loved it!,17,pos,4.352083333333333,0.0,0.0,0.0
262,531644466,"mam trends silicone orthodontic pacifier, girl, 0-6 months, 2-count",4.0,0.0,0.0,0.0,0.0,My baby girl tried so many pacifiers and these were the only ones she liked and would,Loooove these pacifiers! My baby girl tried so many pacifiers and these were the only ones she liked and would take,2015-08-19,My baby girl tried so many pacifiers and these were the only ones she liked and would Loooove these pacifiers! My baby girl tried so many pacifiers and these were the only ones she liked and would take,38,neu,3.783333333333333,0.0,0.0,0.0
276,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",4.0,0.0,0.0,0.0,0.0,A must have,These are the only binky my newborn will take and work like a charm!,2015-08-18,A must have These are the only binky my newborn will take and work like a charm!,17,neu,3.0,0.0,0.0,0.0
406,450475749,wubbanub brown monkey pacifier,4.0,0.0,0.0,0.0,0.0,Five Stars,Cute monkey,2015-08-15,Five Stars Cute monkey,4,neu,3.45,0.0,0.0,0.0
411,524435438,"born free bpa-free bliss natural shape pacifier, neutral, 0-6m",4.0,0.0,1.0,0.0,0.0,Great pacifier,If you're a breastfeeding mom - it's likely your baby will prefer these over the orthodontic kind. They hold up great and are easy to clean (follow manufacturer instructions).,2015-08-15,Great pacifier If you're a breastfeeding mom - it's likely your baby will prefer these over the orthodontic kind. They hold up great and are easy to clean (follow manufacturer instructions).,31,pos,4.0,0.0,0.0,0.0
412,381226741,philips avent bpa free contemporary freeflow pacifier,1.0,0.0,0.0,0.0,0.0,I didn't get these 2 colors that was advertised when ...,I didn't get these 2 colors that was advertised when placing my order i got 2 pink i want these 2 colors i need it for a boy NOT a girl!!!!!!!!!!!!,2015-08-15,I didn't get these 2 colors that was advertised when ... I didn't get these 2 colors that was advertised when placing my order i got 2 pink i want these 2 colors i need it for a boy NOT a girl!!!!!!!!!!!!,42,neg,1.0,0.0,0.0,0.0
413,509145368,"jj cole pacifier pod, cream & black",4.0,0.0,0.0,0.0,0.0,Love this pacifier pod,"Love love love this pacifier pod! I now have 3 one on my diaper bag, one on my car seat and one on my stroller it is so handy to always have a back up pacifier accessible at all times, no digging through a full bag while the baby cries.",2015-08-14,"Love this pacifier pod Love love love this pacifier pod! I now have 3 one on my diaper bag, one on my car seat and one on my stroller it is so handy to always have a back up pacifier accessible at all times, no digging through a full bag while the baby cries.",54,neu,3.8625,0.0,0.0,0.0
482,572944212,wubbanub soft toy and pacifier,4.0,1.0,1.0,0.0,0.0,A lifesaver for new parents who like sleep!!,"This has been a lifesaver for us! I've seen a ton of moms and babies with these but didn't know what they were called. A friend had twins and said they couldn't do it without the Wubbanub. We soon learned the only pacifier our daughter liked was an Avent soothie but she would drop it at night. After a few nights of screaming after she knocked it out of her mouth (on purpose?), we sent Grammie and Pop Pop to find a Wubbanub. They brought us &#34;Lamby&#34;. I love the little cross on it. It reminds me to thank God for our precious blessing and she loves it. She actually holds it herself but it can be tucked into a swaddle or shirt.",2015-08-08,"A lifesaver for new parents who like sleep!! This has been a lifesaver for us! I've seen a ton of moms and babies with these but didn't know what they were called. A friend had twins and said they couldn't do it without the Wubbanub. We soon learned the only pacifier our daughter liked was an Avent soothie but she would drop it at night. After a few nights of screaming after she knocked it out of her mouth (on purpose?), we sent Grammie and Pop Pop to find a Wubbanub. They brought us &#34;Lamby&#34;. I love the little cross on it. It reminds me to thank God for our precious blessing and she loves it. She actually holds it herself but it can be tucked into a swaddle or shirt.",131,neu,3.3286300505050503,1.0,0.00047938638542665386,0.0017210812278143674
500,428576973,"**new** nuby garden fresh the nibbler - ingenious made-for-baby washable, refillable mesh pacifier w/cover seal - let baby nibble on hard or soft solid foods while eliminating any risk of choking",4.0,5.0,5.0,0.0,0.0,Great innovative product.,"My daughter started eating oranges from this at 6 months old and she loves it. We use it about weekly.  It also doubles as a teether.  Some say it is hard to open and close.  It is a bit tough, so for you grandparents with arthritis,  you may have a hard time.  It just takes a pit of patience.  Otherwise I found it to be a very sturdy product. As far as the mesh netting goes, I have had no discoloration on mine after 3 months of use it still looks new.  I boil my daughters bottles and I just dip the mesh in the boiling water.  They do make replacement netting if your concerned about the coloring.",2015-08-07,"Great innovative product. My daughter started eating oranges from this at 6 months old and she loves it. We use it about weekly.  It also doubles as a teether.  Some say it is hard to open and close.  It is a bit tough, so for you grandparents with arthritis,  you may have a hard time.  It just takes a pit of patience.  Otherwise I found it to be a very sturdy product. As far as the mesh netting goes, I have had no discoloration on mine after 3 months of use it still looks new.  I boil my daughters bottles and I just dip the mesh in the boiling water.  They do make replacement netting if your concerned about the coloring.",121,neu,3.172828282828283,1.0,0.0023969319271332696,0.008320819020996503
517,572944212,wubbanub soft toy and pacifier,5.0,0.0,0.0,0.0,0.0,Great binky!,"Great product. It comes with the soothie paci well attached to the fuchsia giraffe. Easy to use, washes beautifully and baby likes it.",2015-08-06,"Great binky! Great product. It comes with the soothie paci well attached to the fuchsia giraffe. Easy to use, washes beautifully and baby likes it.",25,pos,4.541666666666667,0.0,0.0,0.0
598,572944212,wubbanub soft toy and pacifier,4.0,0.0,0.0,0.0,0.0,Adorable,Very cute elephant. Our daughter loves the soothe pacifier and having the elephant on it makes it cuter and gives her something to hold. Plus it stays in her mouth better.,2015-08-05,Adorable Very cute elephant. Our daughter loves the soothe pacifier and having the elephant on it makes it cuter and gives her something to hold. Plus it stays in her mouth better.,32,pos,4.1,0.0,0.0,0.0
601,586745626,ulubulu expression pacifier set,4.0,0.0,0.0,0.0,0.0,great.,"Its super cute, and came im cute little heart shaped containers.",2015-08-05,"great. Its super cute, and came im cute little heart shaped containers.",12,neu,3.7783333333333333,0.0,0.0,0.0
618,508170926,wubbanub infant plush toy pacifier green frog,5.0,0.0,0.0,0.0,0.0,Five Stars,So very cute!,2015-08-04,Five Stars So very cute!,5,pos,4.625,0.0,0.0,0.0
637,667171015,fctry - baby pacifiers,5.0,0.0,0.0,0.0,0.0,Five Stars,GREAT ITEMM.,2015-08-03,Five Stars GREAT ITEMM.,4,pos,4.6,0.0,0.0,0.0
644,704366834,"mustache pacifier for baby boys 6-12 months (2pcs), dlux products baby funny gentleman appease & control your child- made of bpa-free, odorless & 100% food-grade silicone according to en 1400 & us cpsc standards - makes ideal gift!",4.0,0.0,0.0,0.0,0.0,Mustache Pacifier,"Great and funny looking pacifiers. After searching through Amazon I decided to buy these because of the two different styles. The mustache texture on the pictures looked pretty soft. After receiving them the mustache material is soft and rubbery, not the hard plastic kind. This makes them even an better even better value.",2015-08-02,"Mustache Pacifier Great and funny looking pacifiers. After searching through Amazon I decided to buy these because of the two different styles. The mustache texture on the pictures looked pretty soft. After receiving them the mustache material is soft and rubbery, not the hard plastic kind. This makes them even an better even better value.",55,neu,3.5616666666666665,0.0,0.0,0.0
645,869138578,wubbanub (tm) dragon pacifier!,4.0,0.0,0.0,0.0,0.0,Love these.,Very cute styles and good quality pacifier. They are machine washable so very eay to clean for thw inevitable spills.,2015-08-02,Love these. Very cute styles and good quality pacifier. They are machine washable so very eay to clean for thw inevitable spills.,22,neu,3.8055555555555554,0.0,0.0,0.0
648,64500002,"nuk baby talk puller pacifier in assorted colors and styles, 0-6 months",3.0,0.0,0.0,0.0,0.0,disappointed.,I should have read the description. It only comes with two instead of four.,2015-08-02,disappointed. I should have read the description. It only comes with two instead of four.,15,neg,2.25,0.0,0.0,0.0
655,365343975,tommee tippee every day pacifier 0-3 months 2 pack,4.0,2.0,2.0,0.0,0.0,My daughters favorite pacifier,Best pacifier on the market hands down! We have tried many pacifiers like the soothie (which she liked for a little while but never kept it in well) and avent pacifiers but she took to these the best. She isn't a big pacifier baby until recently as her teeth began coming in. She can keep it in her mouth well especially at night for bed time. It's easy to clean and is comfortable for her.,2015-08-01,My daughters favorite pacifier Best pacifier on the market hands down! We have tried many pacifiers like the soothie (which she liked for a little while but never kept it in well) and avent pacifiers but she took to these the best. She isn't a big pacifier baby until recently as her teeth began coming in. She can keep it in her mouth well especially at night for bed time. It's easy to clean and is comfortable for her.,79,neu,3.6797008547008545,1.0,0.0009587727708533077,0.003629576952122637
696,342126482,"playtex binkylatex pacifier, 0-24 months, 2-count",4.0,0.0,0.0,0.0,0.0,Pacifier,I gave this to my cute nephew and he loves it!,2015-07-31,Pacifier I gave this to my cute nephew and he loves it!,12,pos,4.25,0.0,0.0,0.0
699,449026476,"philips avent freeflow pacifier bpa, free blue / white, 0-6 months",4.0,0.0,1.0,0.0,0.0,I really like this pacifier,"I really like this pacifier.  Well, I should say, my kids have loved these pacifiers.  My favorite thing about them is that each pacifier comes with a plastic snap-on case, which makes traveling with them so much easier.  What I don't like about them (and other brands), is that water can get trapped on the inside of the pacifier which just grosses me out.  That said, I keep buying them because they are a favorite in this house.",2015-07-31,"I really like this pacifier I really like this pacifier.  Well, I should say, my kids have loved these pacifiers.  My favorite thing about them is that each pacifier comes with a plastic snap-on case, which makes traveling with them so much easier.  What I don't like about them (and other brands), is that water can get trapped on the inside of the pacifier which just grosses me out.  That said, I keep buying them because they are a favorite in this house.",83,neu,3.49375,0.0,0.0,0.0
729,392768822,wubbanub infant pacifier - giraffe,3.0,0.0,0.0,0.0,0.0,I recently gave her her wubanub and she seems to like this. I like that the stuffed animal offers ...,My 2 month daughter only likes soothie pacifiers.  I recently gave her her wubanub and she seems to like this. I like that the stuffed animal offers her something to hold and stays in place. My only dislike is that the pacifier is attached so I can't cover it with a pacifier cover or thrown into sterilizer. I just carry it around in a zip lock.,2015-07-30,I recently gave her her wubanub and she seems to like this. I like that the stuffed animal offers ... My 2 month daughter only likes soothie pacifiers.  I recently gave her her wubanub and she seems to like this. I like that the stuffed animal offers her something to hold and stays in place. My only dislike is that the pacifier is attached so I can't cover it with a pacifier cover or thrown into sterilizer. I just carry it around in a zip lock.,86,neu,3.066666666666667,0.0,0.0,0.0
752,420669412,dr. brown's pacifier and bottle wipes,3.0,1.0,1.0,0.0,0.0,They are nice and wet and also a good size,They are nice and wet and also a good size. Only problem is the taste it leaves on the cleaned surface.,2015-07-29,They are nice and wet and also a good size They are nice and wet and also a good size. Only problem is the taste it leaves on the cleaned surface.,31,neu,3.6857142857142855,1.0,0.00047938638542665386,0.001650742724350099
761,719101633,"nuk newborn 100% silicone orthodontic pacifier in assorted colors, 0-3 months (2 count)",2.0,3.0,8.0,0.0,0.0,POTENTIALLY CANCER CAUSING PROP. 65 WARNING!!,THIS HAS A PROPOSITION 65 WARNING!! THIS IS THE RIGHT FOR CALIFORNIA RESIDENCE TO KNOW IF A PRODUCT CONTAINS POTENTIALLY CANCEROUS CAUSING MATERIAL AND CHEMICALS!! DO NOT BUY!! I HAVE CONTACTED NUK AND AM CURRENTLY WAITING A REPLY TO FIND OUT WHAT COULD MAKE IT POTENTIALLY CANCER CAUSING!!,2015-07-28,POTENTIALLY CANCER CAUSING PROP. 65 WARNING!! THIS HAS A PROPOSITION 65 WARNING!! THIS IS THE RIGHT FOR CALIFORNIA RESIDENCE TO KNOW IF A PRODUCT CONTAINS POTENTIALLY CANCEROUS CAUSING MATERIAL AND CHEMICALS!! DO NOT BUY!! I HAVE CONTACTED NUK AND AM CURRENTLY WAITING A REPLY TO FIND OUT WHAT COULD MAKE IT POTENTIALLY CANCER CAUSING!!,54,neu,3.1142857142857143,0.375,0.0005393096836049856,0.0014915617227046814
