,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
2,22842035,1,3.0,1,1.0
148,407277980,7,3.0,1,0.14285714285714285
153,420669412,2,3.0,1,0.5
155,423664880,7,3.0,1,0.14285714285714285
314,747068001,5,3.0,1,0.2
335,831792142,5,3.0,1,0.2
177,451617076,6,3.0,1,0.16666666666666666
182,456437823,8,3.0,1,0.125
189,463344062,2,3.0,1,0.5
191,464288222,3,3.0,1,0.3333333333333333
201,481329985,7,3.0,1,0.14285714285714285
210,506569016,4,3.0,1,0.25
213,508170926,17,3.0,1,0.058823529411764705
218,513520259,2,3.0,1,0.5
230,520875423,2,3.0,1,0.5
233,524923091,3,3.0,1,0.3333333333333333
235,528212913,3,3.0,1,0.3333333333333333
240,531834407,10,3.0,1,0.1
246,545741651,2,3.0,1,0.5
328,807533519,2,3.0,1,0.5
258,585880039,4,3.0,1,0.25
266,597098491,4,3.0,1,0.25
275,615270293,4,3.0,1,0.25
287,658527424,1,3.0,1,1.0
326,781955422,5,3.0,1,0.2
294,671647927,6,3.0,1,0.16666666666666666
301,717616351,4,3.0,1,0.25
308,735580975,6,3.0,1,0.16666666666666666
310,735883323,3,3.0,1,0.3333333333333333
312,742831771,2,3.0,1,0.5
337,833430714,5,3.0,1,0.2
139,389043588,3,3.0,1,0.3333333333333333
161,428230170,1,3.0,1,1.0
127,380619977,13,3.0,1,0.07692307692307693
398,984750507,7,3.0,1,0.14285714285714285
16,64500002,6,3.0,1,0.16666666666666666
41,137289931,3,3.0,1,0.3333333333333333
44,137759317,8,3.0,1,0.125
47,148951957,2,3.0,1,0.5
382,955350284,7,3.0,1,0.14285714285714285
377,938291364,3,3.0,1,0.3333333333333333
64,218693378,4,3.0,1,0.25
81,293975317,4,3.0,1,0.25
83,294255492,5,3.0,1,0.2
363,905342430,6,3.0,1,0.16666666666666666
361,899854772,2,3.0,1,0.5
70,226242876,6,3.0,1,0.16666666666666666
347,867638761,5,3.0,1,0.2
123,379394235,4,3.0,1,0.25
98,334562668,1,3.0,1,1.0
100,339747365,4,3.0,1,0.25
343,854993067,1,3.0,1,1.0
119,374871959,1,3.0,1,1.0
108,353197975,5,3.0,1,0.2
116,365343975,2,3.0,1,0.5
345,858196820,6,3.0,1,0.16666666666666666
330,808441948,3,3.0,2,0.6666666666666666
32,122950606,10,3.0,2,0.2
25,106521272,7,3.0,2,0.2857142857142857
19,84104860,2,3.0,2,1.0
305,729398287,4,3.0,2,0.5
5,44176469,4,3.0,2,0.5
282,637073326,5,3.0,2,0.4
272,610554685,11,3.0,2,0.18181818181818182
262,589029650,9,3.0,2,0.2222222222222222
162,428576973,12,3.0,2,0.16666666666666666
371,928822368,8,3.0,2,0.25
332,812583172,9,3.0,2,0.2222222222222222
132,381226741,27,3.0,2,0.07407407407407407
224,515907812,7,3.0,2,0.2857142857142857
366,911821018,16,3.0,2,0.125
184,457041157,14,3.0,2,0.14285714285714285
400,986016545,6,3.0,2,0.3333333333333333
269,604039789,13,3.0,2,0.15384615384615385
320,765403850,6,3.0,2,0.3333333333333333
384,956279524,4,3.0,3,0.75
386,957640647,10,3.0,3,0.3
196,473538559,15,3.0,3,0.2
404,997127233,11,3.0,3,0.2727272727272727
187,460495350,8,3.0,3,0.375
58,211963857,7,3.0,3,0.42857142857142855
61,218530709,10,3.0,3,0.3
112,364133280,7,3.0,3,0.42857142857142855
88,295960359,23,3.0,3,0.13043478260869565
13,63883088,5,3.0,4,0.8
53,179903806,12,3.0,4,0.3333333333333333
252,572944212,31,3.0,4,0.12903225806451613
174,450475749,35,3.0,4,0.11428571428571428
91,308287733,9,3.0,4,0.4444444444444444
104,343148814,20,3.0,5,0.25
165,428946394,9,3.0,5,0.5555555555555556
22,93476192,12,3.0,5,0.4166666666666667
9,51313971,19,3.0,5,0.2631578947368421
95,311600177,18,3.0,6,0.3333333333333333
290,667171015,25,3.0,7,0.28
143,392768822,52,3.0,7,0.1346153846153846
339,838023597,35,3.0,8,0.22857142857142856
75,246038397,99,3.0,20,0.20202020202020202
