,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
8,51313971,19,2.0,1,0.05263157894736842
379,943054366,2,2.0,1,0.5
212,508170926,17,2.0,1,0.058823529411764705
222,513985034,2,2.0,1,0.5
227,519841015,6,2.0,1,0.16666666666666666
229,520875423,2,2.0,1,0.5
239,531834407,10,2.0,1,0.1
251,572944212,31,2.0,1,0.03225806451612903
255,574097816,1,2.0,1,1.0
257,585880039,4,2.0,1,0.25
268,604039789,13,2.0,1,0.07692307692307693
271,610554685,11,2.0,1,0.09090909090909091
281,637073326,5,2.0,1,0.2
289,664402451,1,2.0,1,1.0
319,765403850,6,2.0,1,0.16666666666666666
344,858196820,6,2.0,1,0.16666666666666666
356,892018890,7,2.0,1,0.14285714285714285
359,892851560,1,2.0,1,1.0
365,911821018,16,2.0,1,0.0625
374,932874238,5,2.0,1,0.2
186,460495350,8,2.0,1,0.125
181,456437823,8,2.0,1,0.125
403,997127233,11,2.0,1,0.09090909090909091
173,450475749,35,2.0,1,0.02857142857142857
15,64500002,6,2.0,1,0.16666666666666666
146,396695183,9,2.0,1,0.1111111111111111
142,392768822,52,2.0,1,0.019230769230769232
136,387353699,3,2.0,1,0.3333333333333333
28,110124739,5,2.0,1,0.2
31,122950606,10,2.0,1,0.1
99,339747365,4,2.0,1,0.25
36,129348876,5,2.0,1,0.2
43,137759317,8,2.0,1,0.125
69,226242876,6,2.0,1,0.16666666666666666
179,454116188,4,2.0,1,0.25
52,179903806,12,2.0,1,0.08333333333333333
49,158540300,4,2.0,1,0.25
323,772280665,7,2.0,2,0.2857142857142857
60,218530709,10,2.0,2,0.2
103,343148814,20,2.0,2,0.1
131,381226741,27,2.0,2,0.07407407407407407
164,428946394,9,2.0,2,0.2222222222222222
303,719101633,7,2.0,2,0.2857142857142857
200,481329985,7,2.0,2,0.2857142857142857
87,295960359,23,2.0,3,0.13043478260869565
74,246038397,99,2.0,4,0.04040404040404041
325,781955422,5,2.0,4,0.8
94,311600177,18,2.0,4,0.2222222222222222
293,671647927,6,2.0,5,0.8333333333333334
