,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
194,467787167,1,5.0,1,1.0
193,464288222,3,5.0,1,0.3333333333333333
395,983961154,3,5.0,1,0.3333333333333333
203,481329985,7,5.0,1,0.14285714285714285
207,495764832,12,5.0,1,0.08333333333333333
221,513564343,2,5.0,1,0.5
226,515907812,7,5.0,1,0.14285714285714285
238,531644466,2,5.0,1,0.5
242,531834407,10,5.0,1,0.1
244,540244704,3,5.0,1,0.3333333333333333
190,463344062,2,5.0,1,0.5
245,540487761,1,5.0,1,1.0
285,642025394,3,5.0,1,0.3333333333333333
298,707645997,1,5.0,1,1.0
299,708518599,1,5.0,1,1.0
351,869431526,2,5.0,1,0.5
358,892018890,7,5.0,1,0.14285714285714285
373,929820454,1,5.0,1,1.0
388,957640647,10,5.0,1,0.1
389,960884826,1,5.0,1,1.0
391,969174729,2,5.0,1,0.5
274,610554685,11,5.0,1,0.09090909090909091
160,426289853,2,5.0,1,0.5
397,984679751,5,5.0,1,0.2
121,376433342,3,5.0,1,0.3333333333333333
85,294255492,5,5.0,1,0.2
63,218530709,10,5.0,1,0.1
97,311600177,18,5.0,1,0.05555555555555555
106,343148814,20,5.0,1,0.05
110,353197975,5,5.0,1,0.2
57,208605316,4,5.0,1,0.25
66,218693378,4,5.0,1,0.25
72,226242876,6,5.0,1,0.16666666666666666
126,379901061,6,5.0,1,0.16666666666666666
129,380619977,13,5.0,1,0.07692307692307693
38,129348876,5,5.0,1,0.2
134,381226741,27,5.0,1,0.037037037037037035
35,128958612,7,5.0,1,0.14285714285714285
151,416377561,5,5.0,1,0.2
27,106521272,7,5.0,1,0.14285714285714285
322,765403850,6,5.0,2,0.3333333333333333
318,765094703,11,5.0,2,0.18181818181818182
40,130912179,11,5.0,2,0.18181818181818182
169,432096885,3,5.0,2,0.6666666666666666
264,589029650,9,5.0,2,0.2222222222222222
157,423664880,7,5.0,2,0.2857142857142857
254,572944212,31,5.0,2,0.06451612903225806
215,508170926,17,5.0,2,0.11764705882352941
292,667171015,25,5.0,2,0.08
24,98582083,2,5.0,2,1.0
90,295960359,23,5.0,3,0.13043478260869565
114,364133280,7,5.0,3,0.42857142857142855
198,473538559,15,5.0,3,0.2
368,911821018,16,5.0,4,0.25
145,392768822,52,5.0,4,0.07692307692307693
176,450475749,35,5.0,6,0.17142857142857143
77,246038397,99,5.0,7,0.0707070707070707
