,product_parent,total_rates_count,star_rating,stars_rate_count,rate_ratio
0,4792175,1,4.0,1,1.0
113,364133280,7,4.0,1,0.14285714285714285
111,356312576,1,4.0,1,1.0
107,352182356,1,4.0,1,1.0
260,586745626,1,4.0,1,1.0
102,342126482,1,4.0,1,1.0
261,588916430,1,4.0,1,1.0
117,365343975,2,4.0,1,0.5
265,595227405,1,4.0,1,1.0
278,626585865,1,4.0,1,1.0
279,629762307,1,4.0,1,1.0
280,634651320,1,4.0,1,1.0
80,277493012,1,4.0,1,1.0
167,429084754,1,4.0,1,1.0
78,248683677,1,4.0,1,1.0
93,311061809,1,4.0,1,1.0
118,366394525,1,4.0,1,1.0
250,567287601,1,4.0,1,1.0
248,556747467,1,4.0,1,1.0
171,449026476,1,4.0,1,1.0
159,426289853,2,4.0,1,0.5
192,464288222,3,4.0,1,0.3333333333333333
195,467792741,1,4.0,1,1.0
154,420669412,2,4.0,1,0.5
199,478654663,1,4.0,1,1.0
204,488259221,1,4.0,1,1.0
205,493752378,1,4.0,1,1.0
217,511818612,1,4.0,1,1.0
219,513520259,2,4.0,1,0.5
220,513564343,2,4.0,1,0.5
223,513985034,2,4.0,1,0.5
138,387375109,1,4.0,1,1.0
237,531644466,2,4.0,1,0.5
247,545741651,2,4.0,1,0.5
288,661450952,1,4.0,1,1.0
295,674038347,1,4.0,1,1.0
79,249327656,1,4.0,1,1.0
67,221535473,1,4.0,1,1.0
3,24160750,1,4.0,1,1.0
393,981812270,1,4.0,1,1.0
7,51308962,1,4.0,1,1.0
390,969174729,2,4.0,1,0.5
385,956279524,4,4.0,1,0.25
14,63883088,5,4.0,1,0.2
380,943054366,2,4.0,1,0.5
20,91213610,1,4.0,1,1.0
362,899854772,2,4.0,1,0.5
360,897746518,1,4.0,1,1.0
68,224554568,1,4.0,1,1.0
30,115431579,1,4.0,1,1.0
352,869545112,1,4.0,1,1.0
350,869431526,2,4.0,1,0.5
341,847151491,1,4.0,1,1.0
355,878974810,1,4.0,1,1.0
334,816941808,1,4.0,1,1.0
296,678689917,1,4.0,1,1.0
307,729808335,1,4.0,1,1.0
55,181638405,1,4.0,1,1.0
321,765403850,6,4.0,1,0.16666666666666666
329,807533519,2,4.0,1,0.5
313,742831771,2,4.0,1,0.5
168,432096885,3,4.0,1,0.3333333333333333
46,147016145,1,4.0,1,1.0
331,808441948,3,4.0,1,0.3333333333333333
48,148951957,2,4.0,1,0.5
170,439223023,2,4.0,2,1.0
394,983961154,3,4.0,2,0.6666666666666666
284,642025394,3,4.0,2,0.6666666666666666
256,578779420,2,4.0,2,1.0
392,981045906,2,4.0,2,1.0
306,729398287,4,4.0,2,0.5
283,637073326,5,4.0,2,0.4
243,540244704,3,4.0,2,0.6666666666666666
353,873727498,2,4.0,2,1.0
378,938291364,3,4.0,2,0.6666666666666666
259,585880039,4,4.0,2,0.5
370,925732558,2,4.0,2,1.0
232,524435438,2,4.0,2,1.0
234,524923091,3,4.0,2,0.6666666666666666
236,528212913,3,4.0,2,0.6666666666666666
311,735883323,3,4.0,2,0.6666666666666666
381,953521763,2,4.0,2,1.0
208,502209492,2,4.0,2,1.0
137,387353699,3,4.0,2,0.6666666666666666
65,218693378,4,4.0,2,0.5
166,428946394,9,4.0,2,0.2222222222222222
73,240496854,2,4.0,2,1.0
140,389043588,3,4.0,2,0.6666666666666666
42,137289931,3,4.0,2,0.6666666666666666
18,78936330,2,4.0,2,1.0
51,179662085,2,4.0,2,1.0
120,376433342,3,4.0,2,0.6666666666666666
101,339747365,4,4.0,2,0.5
12,52203997,2,4.0,2,1.0
6,44176469,4,4.0,2,0.5
300,710299720,3,4.0,3,1.0
124,379394235,4,4.0,3,0.75
122,377768960,3,4.0,3,1.0
71,226242876,6,4.0,3,0.5
354,874164482,3,4.0,3,1.0
316,756673722,3,4.0,3,1.0
267,597098491,4,4.0,3,0.75
369,920298244,3,4.0,3,1.0
276,615270293,4,4.0,3,0.75
56,208605316,4,4.0,3,0.75
