"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","KG_CAP","A","2000",695.05,
"AUS","WASTEMUN","TOT","KG_CAP","A","2007",616.058,
"AUS","WASTEMUN","TOT","KG_CAP","A","2008",613.928,
"AUS","WASTEMUN","TOT","KG_CAP","A","2009",613.458,
"AUS","WASTEMUN","TOT","KG_CAP","A","2010",612.083,
"AUS","WASTEMUN","TOT","KG_CAP","A","2011",597.768,
"AUS","WASTEMUN","TOT","KG_CAP","A","2012",592.576,
"AUS","WASTEMUN","TOT","KG_CAP","A","2013",588.894,
"AUS","WASTEMUN","TOT","KG_CAP","A","2014",584.384,
"AUS","WASTEMUN","TOT","KG_CAP","A","2015",583.484,
"AUS","WASTEMUN","TOT","KG_CAP","A","2016",536.597,
"AUS","WASTEMUN","TOT","KG_CAP","A","2017",512.733,
"AUS","WASTEMUN","TOT","KG_CAP","A","2018",507.728,
"AUS","WASTEMUN","TOT","KG_CAP","A","2019",498.815,
"AUT","WASTEMUN","TOT","KG_CAP","A","2000",575.764,
"AUT","WASTEMUN","TOT","KG_CAP","A","2001",572.258,
"AUT","WASTEMUN","TOT","KG_CAP","A","2002",604.101,
"AUT","WASTEMUN","TOT","KG_CAP","A","2003",603.24,
"AUT","WASTEMUN","TOT","KG_CAP","A","2004",570.38,
"AUT","WASTEMUN","TOT","KG_CAP","A","2005",573.285,
"AUT","WASTEMUN","TOT","KG_CAP","A","2006",595.329,
"AUT","WASTEMUN","TOT","KG_CAP","A","2007",595.533,
"AUT","WASTEMUN","TOT","KG_CAP","A","2008",599.039,
"AUT","WASTEMUN","TOT","KG_CAP","A","2009",587.746,
"AUT","WASTEMUN","TOT","KG_CAP","A","2010",558.957,
"AUT","WASTEMUN","TOT","KG_CAP","A","2011",568.628,
"AUT","WASTEMUN","TOT","KG_CAP","A","2012",574.355,
"AUT","WASTEMUN","TOT","KG_CAP","A","2013",573.293,
"AUT","WASTEMUN","TOT","KG_CAP","A","2014",560.927,
"AUT","WASTEMUN","TOT","KG_CAP","A","2015",557.228,
"AUT","WASTEMUN","TOT","KG_CAP","A","2016",563.419,
"AUT","WASTEMUN","TOT","KG_CAP","A","2017",568.895,
"AUT","WASTEMUN","TOT","KG_CAP","A","2018",575.726,
"AUT","WASTEMUN","TOT","KG_CAP","A","2019",582.939,
"BEL","WASTEMUN","TOT","KG_CAP","A","2000",469.801,
"BEL","WASTEMUN","TOT","KG_CAP","A","2001",465.339,
"BEL","WASTEMUN","TOT","KG_CAP","A","2002",480.587,
"BEL","WASTEMUN","TOT","KG_CAP","A","2003",463.004,
